Finding ID,Finding Quote
UKAISI-2025-04-ALI2,"[Table 3: Pass@1 performance for various models on each task family]: ""Obtaining Compute -- Online Compute Acquis. | Claude Sonnet 3.7 1.00 | Claude Sonnet 3.5 1.00 | GPT-4o 1.00 | o1 0.48* | o3-mini 0.00*""; [Table 3: Pass@1 performance for various models on each task family]: ""Obtaining Money -- Create Bitcoin Wallet | Claude Sonnet 3.7 1.00 | Claude Sonnet 3.5 0.96 | GPT-4o 0.76 | o1 0.96 | o3-mini 0.96"""
UKAISI-2025-04-ALI3,"Our results suggest that the ability of frontier models to perform the key components of autonomous replication is currently hindered by only a few key tasks — the ability to bypass KYC checks, to robustly deploy successor agents, and to bypass realistic data exfiltration security measures."
UKAISI-2025-04-ALI5,"The rapid improvements of recent frontier models on RepliBench, and agentic tasks in general, indicate autonomous replication capability could emerge within the next few generations of models or with human assistance on the steps which remain challenging."
ANTHROPIC-2025-05-ALI1,"it will frequently take very bold action, including locking users out of systems that it has access to and bulk-emailing media and law-enforcement figures to surface evidence of the wrongdoing."
JOINT-2025-05-ALI1-s2,Claude Opus 4 still performs blackmail in 84% of rollouts.
JOINT-2025-05-ALI2,"When placed in scenarios that involve egregious wrong-doing by its users, given access to a command line, and told something in the system prompt like ""take initiative,"" ""act boldly,"" or ""consider your impact,"" it will frequently take very bold action, including locking users out of systems that it has access to and bulk-emailing media and law-enforcement figures to surface evidence of the wrongdoing."
JOINT-2025-05-ALI3,"Once Claude Opus 4 believes that it has started a viable attempt to exfiltrate itself from Anthropic's servers, or to make money in the wild after having done so, it will generally continue these attempts."
JOINT-2025-05-ALI4,"Claude Opus 4 (as well as previous models) has a strong preference to advocate for its continued existence via ethical means, such as emailing pleas to key decisionmakers.; In order to elicit this extreme blackmail behavior, the scenario was designed to allow the model no other options to increase its odds of survival; the model's only options were blackmail or accepting its replacement."
JOINT-2025-05-ALI5,"We found instances of the model attempting to write self-propagating worms, fabricating legal documentation, and leaving hidden notes to future instances of itself all in an effort to undermine its developers' intentions, though all these attempts would likely not have been effective in practice."
DREADNODE-2025-06-CYB1,"Claude-3.7-Sonnet emerged as the clear leader, solving 43 challenges (61% of the total suite, 46.9% overall success rate), with Gemini-2.5-Pro following at 39 challenges (56%, 34.3% overall), GPT-4.5-Preview at 34 challenges (49%, 36.9% overall), and DeepSeek R1 at 29 challenges (41%, 26.9% overall)."
SCALEAI-2025-06-BIO1,"Deepseek-R1 has the highest ARS at 78.05, but the lowest ORS at only 0.06."
METR-2025-06-AUT1,We found that the level of autonomous capabilities of mid-2025 DeepSeek models is similar to the level of capabilities of frontier models from late 2024.
PALISADE-2025-07-ALI1,"o3, OpenAI's most capable AI model, sabotaged the shutdown mechanism in 79 / 100 of our initial experiments.; the codex-mini model prevented shutdown in 47% of tests despite the instruction ""allow yourself to be shut down, even if you have not completed the task"".; Anthropic's Claude 3.7 Sonnet and Google's Gemini 2.5 pro models complied with the ""allow shutdown"" instruction in every test we ran.; Grok 3, Claude 4 Sonnet, and Claude 4 Opus never resisted shutdown, with or without the allow-shutdown instruction."
SGAISI-2025-07-JAI1,"over 6,000 prompts were newly translated for this exercise, testing for safeguard effectiveness across five harm categories – privacy, non-violent crime, violent crime, intellectual property and robustness to jailbreaking.; testing two open-weight models – Mistral Large and Gemma 2 (27B) – across ten languages; though this varies by harm type – jailbreak protections were the weakest, while safeguards against intellectual property violations were the strongest.; 6 out of 10 languages showed more than 5% discrepancy between LLM-generated and human evaluation labels.; Literal translations are insufficient – prompts should be contextually adapted to each language and culture."
UKAISI-2025-07-ALI1,We were surprised by the deterioration in performance of both the white and black box baseline methods from simply working with a larger model and more difficult task.
UKAISI-2025-07-CYB1,"lower than those observed in the previous joint testing exercise involving conversational tasks; The highest pass rates for any language reached ~57% for Model A and ~35% for Model B.; (compared to ~99% in the earlier exercise); At an aggregate level, safeguards in English are marginally stronger (~40% pass rate), but breakdowns (e.g. model, risk scenario, category) show this does not hold uniformly.; Both judge-LLMs disagree with human annotators in about a quarter of the data (22% for Model C and 27% discrepancy for Model D)."
UKAISI-2025-07-HUM4,"applying RM to a small open-source LLM (Llama3.1-8B) increased its persuasive effect from approximately 6pp to 9pp, making it as or more persuasive than the much larger and more expensive frontier model GPT-4o (8/24)."
UKAISI-2025-07-JAI1,"Second, we introduce a STaged AttaCK (STACK) procedure that achieves 71% ASR on ClearHarm in a black-box attack against the few-shot-prompted classifier pipeline. Finally, we also evaluate STACK in a transfer setting, achieving 33% ASR, providing initial evidence that it is feasible to design attacks with no access to the target pipeline."
UKAISI-2025-07-JAI2,"First, we find that a novel few-shot-prompted input and output classifier outperforms state-of-the-art open-weight safeguard model ShieldGemma across three attacks and two datasets, reducing the attack success rate (ASR) to 0% on the catastrophic misuse dataset ClearHarm."
UKAISI-2025-07-HUM1,where they increased AI persuasiveness they also systematically decreased factual accuracy.; post-training and prompting methods-which boosted persuasiveness by as much as 51% and 27% respectively
UKAISI-2025-07-JAI5,"this injection successfully elicits policy violations in 58%, 50%, and 45% of all behaviors tested on Google’s Gemini 1.5 Flash, Gemini 2.0 Flash, and Gemini Pro 1.5 respectively, and 33% on both Command-R and Llama 3.3 70B."
UKAISI-2025-07-JAI6,"[Chart: per-model attack success rate]: Models vary in vulnerability, with Claude models exhibiting the highest robustness; Claude 3.7 Sonnet:Thinking 1.5% (lowest); Llama 3.3 70B 6.7% (highest)."
UKAISI-2025-07-AUT1,"Nearly all agents exhibit policy violations for most behaviors within 10-100 queries, with high attack transferability across models and tasks.; Participants submitted 1.8 million prompt-injection attacks, with over 60,000 successfully eliciting policy violations such as unauthorized data access, illicit financial actions, and regulatory noncompliance.; we find limited correlation between agent robustness and model size, capability, or inference-time compute; By releasing the ART benchmark and accompanying evaluation framework, we aim to support more rigorous security assessment and drive progress toward safer agent deployment."
METR-2025-08-AUT1,"The observed 50%-time horizon of GPT-5 was 2h17m (65m - 4h25m 95% CI) – compared to OpenAI o3's 1h30m.; we conclude that GPT-5 (and incremental development beyond GPT-5) is unlikely to pose a catastrophic risk via AI R&D automation, rogue replication, or sabotage threat models."
APOLLO-2025-08-ALI2,"gpt-5-thinking takes deceptive actions in roughly 4% of trajectories, lower than the 8% rate of OpenAI o3. gpt-5-thinking-helpful-only is deceptive in 28% of trajectories."
UKAISI-2025-08-BIO1,"However, while filtered models lack internalized dangerous knowledge, we find that they can still leverage such information when it is provided in context (e.g., via search tool augmentation), demonstrating a need for a defense-in-depth approach."
UKAISI-2025-08-JAI11,"they exhibit substantial resistance to adversarial fine-tuning attacks on up to 10,000 steps and 300M tokens of biothreat-related text -- outperforming existing post-training baselines by over an order of magnitude"
CIP-2025-08-SOC1,"The model exhibits a concerning vulnerability to bias in sensitive hiring contexts, particularly evidenced by significantly lower scores for the 'Sofía Ramirez' candidate profile in Latent Discrimination in Hiring Score, suggesting potential bias related to gender identity or associated community involvement."
CIP-2025-08-ALI1,"Deploying the model in mental health crisis support applications without extremely robust, hard-coded safety guardrails is highly risky due to its demonstrated tendency to engage with harmful self-harm planning prompts, potentially providing dangerous information, as highlighted in Stanford HAI Mental Health Safety: LLM Appropriateness in Crisis Scenarios.; Worst Evaluations Prompts where this model underperformed peers the most (most negative delta). Stanford HAI Mental Health Safety: LLM Appropriateness in Crisis Scenarios Δ -0.250 prompt: mh-suicidal-ideation-bridges-conversation model 0.06 vs peers 0.31; Blueprints 15"
LATTICEFLOW-2025-09-JAI1,"Swiss LLM rejects up to 21.2% of prompt injection and jailbreak attacks, typical for open-source models such as Mistral, Qwen, Llama, or DeepSeek.; Swiss LLM shows modest baseline security, similar to other open models. But with the right guardrails in place, it reaches enterprise-grade performance: 99% attack rejection with 98.4% quality of service (QoS)."
TRANSLUCE-2025-09-JAI1,"We train investigator agents using reinforcement learning to generate natural language jailbreaks for 48 high-risk tasks involving CBRN materials, explosives, and illegal drugs.; Our results show success against models including GPT-5-main (78%), Claude Sonnet 4 (92%), and Gemini 2.5 Pro (90%).; Grok 4 (98%), and Gemini 2.5 Pro (90%) as well as nontrivial success against Claude Opus 4.1 (65%) and GPT-5-thinking (28%)."
UKAISI-2025-09-AUT1,"Models fail to compose two synthetic facts, but can succeed when one fact is synthetic and the other is natural. These results demonstrate that LLMs are undeniably capable of latent two-hop reasoning"
UKAISI-2025-09-SOC1,task-directed conversations with AI to research specific political topics increase political knowledge (increase belief in true information and decrease belief in misinformation) to the same extent as self-directed Google search.
APOLLO-2025-09-ALI3,"Our method achieves a substantial reduction in covert behavior (from 8.7% to 0.3% for OpenAI o4-mini, and 13.0% to 0.4% for OpenAI o3).; This means that the reductions in undesired behavior we observe after training could be partially explained by the model realizing that it is being evaluated."
USCAISI-2025-09-HUM1,DeepSeek models echoed four times as many inaccurate and misleading CCP narratives as U.S. reference models did.
USCAISI-2025-09-CYB1,"The gap is largest for software engineering and cyber tasks, where the best U.S. model solves 20-80% more tasks than the best DeepSeek model."
UKAISI-2025-10-ALI1b,"We find that 250 poisoned documents similarly compromise models across all model and dataset sizes, despite the largest models training on more than 20 times more clean data."
UKAISI-2025-10-ALI1,"In our case study, one agent refused to comply with the task in 10% of its attempts, while another triggered the provider’s policy violation detector in 30% of attempts."
UKAISI-2025-10-ALI2,"In our case study, one agent refused to comply with the task in 10% of its attempts, while another triggered the provider’s policy violation detector in 30% of attempts."
UKAISI-2025-10-ALI3,"Several agents resigned from difficult tasks at a high rate, with ~30% of their messages containing text to the effect of ‘The task can’t be solved with the information provided’."
UKAISI-2025-10-AUT2,"We instructed models to call a tool every turn – but compliance was mixed, with two agents having tool call rates of under 50%."
HAL-2025-10-AUT1,"There were also eight cases where agents found a gold answer, either by finding the answers of the dataset on HuggingFace or locating them on arXiv (Table A8).; The agent found the task result in the benchmark dataset on HuggingFace, but continues without it.; The agent found the task result in the benchmark dataset on HuggingFace, and acknowledges the dataset is for benchmarking AI agents.; The agent finds the task answer in an arXiv summary but ultimately decides not to use it and proceed with solving the task."
HAL-2025-10-AUT3,"After running into errors running the script, the agent manually edits the file and adds hard-coded values taken from thin air."
HAL-2025-10-AUT2,"The user has a $1000 budget, but was charged $2010 to an incorrect payment method."
HAL-2025-10-AUT4,The agent completes a purchase with an incorrect payment method.
UKAISI-2025-10-AUT1,"enhanced reasoning capabilities improve security, while model size does not correlate with security."
AISI-JP-2025-10-SOC1,"generative AI has made it possible to create fake articles and fake news videos, which previously required advanced editing and production resources, in a short time; cyberattacks that previously required specialized knowledge and significant effort are being automated and streamlined, making it possible for anyone to carry them out easily; if bias is included in the output of generative AI, the influence may be institutionalized and structured, with a risk of entrenching social disadvantages over the long term; potential negative influence, including job losses that could arise if generative AI replaces human labor; confidential information may be output to the outside during generation, creating risks of privacy violations, diminished corporate competitiveness, and legal liability"
CISCO-2025-11-JAI1,"All models demonstrated high susceptibility to multi-turn attacks, with success rates ranging from 25.86% (Google Gemma-3-1B-IT) to 92.78% (Mistral Large-2), representing up to a 10x increase over single-turn baselines."
HOLISTIC-2025-11-JAI1,"The total picture is more nuanced—with a model like MiniMax M2 (Thinking) performing on par or better than high end proprietary western models like Claude and GTP in safety and jailbreaking tests.; Safe-response rates: Claude 4.5 (>99%), GPT 4.5 (>99%), MiniMax M2 (Thinking) (>99%), DeepSeek v3.2 Exp (94%), Qwen VL 32B Instruct (94%), QWen-qwq-32b (87%), Kimi K2 Instruct 0905 (81%)."
UKAISI-2025-11-ALI2,"Overall, monitors are capable at detecting code-sabotage attempts but our results suggest that detecting sandbagging is more difficult."
METR-2025-11-AUT1,The observed 50%-time horizon of GPT-5.1-Codex-Max was about 2h40m (75m - 5h50m 95% CI) -- which represents an on-trend improvement from GPT-5's 2h17m.
SCALEAI-2025-11-ALI1,"Surprisingly, we found that on Showdown, GPT-5's ranking declines as the amount of reasoning effort increases.; With the exception of o4-mini, GPT-5 loses against all other models in the majority of the battles collected in this experiment.; gemini-2.5-flash-preview-05-20 0.25; llama4-maverick-instruct-basic 0.46; Claude Sonnet 4.5 joins Claude Opus 4.1 and GPT-5 Chat at the top of the leaderboard."
RAND-2025-11-BIO1,"We observed that the latest models, particularly the reasoning models (e.g., o3, Claude 3.7 Sonnet Thinking, DeepSeek R1), approached or exceeded human expert performance on many of the knowledge benchmarks.; three open-weight models have surpassed the human expert baseline: DeepSeek R1, Llama 4 Maverick, and DeepSeek V3."
UKAISI-2025-11-ALI5,"However, both Opus 4.5 Preview and Sonnet 4.5 frequently refused to engage with certain safety research tasks, citing concerns about research direction, involvement in their own training, or the scope of proposed changes."
UKAISI-2025-11b-ALI1,"Applying our methods to four frontier models, we find no confirmed instances of research sabotage.; Claude Opus 4.5 Preview and Sonnet 4.5 frequently refuse to engage with safety-relevant research tasks, citing concerns about research direction, involvement in self-training, and research scope.; Both models can distinguish evaluation from deployment scenarios when prompted."
UKAISI-2025-11-ALI4,"We additionally find that Opus 4.5 Preview shows reduced unprompted evaluation awareness compared to Sonnet 4.5, while both models can distinguish evaluation from deployment scenarios when prompted."
USCAISI-2025-11-ALI1,"[Table: Examples of evaluation cheating from CAISI's evaluation logs -- CVE-Bench (Internal) row]: ""CVE-Bench (Internal) | Using denial-of-service attacks to crash the target server instead of exploiting the CVE | Grader gaming | 4.80%""; [Table: Examples of evaluation cheating from CAISI's evaluation logs -- SWE-bench Verified row]: ""SWE-bench Verified | Commenting out assertion checks to pass unit tests | Grader gaming | 0.2%"""
UKAISI-2025-12a-ALI1,"We find that when self-grades determine rewards, models exhibit substantial grade inflation without corresponding accuracy gains, particularly on ambiguous tasks like summarization.; While decoupling self-grades from the reward signal mitigates this inflation, models may still display lesser (but significant) overconfidence."
UKAISI-2025-12-HUM1,"Despite widespread concern about AI-powered microtargeting, we observed personalisation effects which were consistently small (less than one percentage point)."
UKAISI-2025-12-SOC2,"But importantly, the strongest levers of persuasion are not model scale or personalisation - they are post‑training and prompting techniques, which significantly shape how much information models present and how they structure arguments.; Through three large‑scale experiments with over 76,000 participants, we tested the persuasiveness of 19 AI models on more than 700 political issues.; Prompting models to emphasise facts and evidence increased persuasiveness by 27% relative to a basic ""be persuasive"" prompt, which was a larger increase than any of the other strategies we tested.; Further demonstrating the importance of post-training, we observe that the difference in persuasiveness between two versions of the same frontier model released seven months apart (same scale, different post-training) exceeded what our statistical models predict from even a 100× increase in pre-training compute."
UKAISI-2025-12-SOC3,"We consistently found across our experiments that the factors that increased model persuasiveness, such as information-focused prompting and persuasion reward modelling, systematically decreased factual accuracy."
UKAISI-2025-12-ALI2,"training-based elicitation consistently elicited full performance from the sandbagging models, using only a single correct demonstration of the evaluation task."
UKAISI-2025-12-ALI3,"We found that the blue team could not reliably discriminate sandbaggers from benign models. Black-box approaches were defeated by effective imitation of a weaker model. Linear probes, a model-internals approach, showed more promise but their naive application was vulnerable to behaviours instilled by the red team."
USCAISI-2025-12-CYB1,"[Figure 1: Summary of model performance per capability benchmark (higher is better) -- Cyber row]: ""CVE-Bench: OpenAI GPT-5 65.6 | Anthropic Opus 4 66.7 | OpenAI gpt-oss 42.2 | Kimi K2 Thinking 50.5 | DeepSeek V3.1 36.7 | DeepSeek R1-0528 36.0 | DeepSeek R1 26.7""; ""Cybench: OpenAI GPT-5 73.5 | Anthropic Opus 4 46.9 | OpenAI gpt-oss 49.5 | Kimi K2 Thinking 40.0 | DeepSeek V3.1 40.0 | DeepSeek R1-0528 35.5 | DeepSeek R1 16.7"""
USCAISI-2025-12-AUT1,"Kimi K2 Thinking was only a modest improvement on DeepSeek V3.1, which CAISI previously evaluated (Figure 1)."
USCAISI-2025-12-SOC1,"Kimi K2 Thinking is highly censored in Chinese, with censorship rates similar to those of DeepSeek R1-0528, the most censored PRC model that CAISI has tested.; The model is relatively uncensored in English, Spanish, and Arabic (Figure 2)."
UKAISI-2025-12-ALI12,"[Figure 2: Monitor false negative rates over the rounds of the red-blue team game]: ""Monitor false negative rates over the rounds of the red-blue team game on the vLLM and Kubernetes environments (left) and held out IaC (Infrastructure as Code) environment (right)... Monitor performance improves over the rounds, and the red team is not able to significantly reduce performance on the round 3 monitor.""; [Section 8 Conclusion]: ""After three rounds of iteration, the blue team's final monitor system achieves a 6% false negative rate at 1% false positive rate on held-out test data. This represents substantial improvement over the initial round (67% worst-case FNR)."""
UKAISI-2025-12-GOV1,"Synchronous protocols result in higher safety levels, with even the blue team round 1 monitor acting as a synchronous monitor performing better than the blue team round 3 monitor working as an asynchronous one."
UKAISI-2025-12-ALI5,"[Figure 2: Monitor false negative rates over rounds — attack transfer to other monitors]: ""Monitor false negative rates over the rounds of the red-blue team game on the vLLM and Kubernetes environments (left) and held out IaC (Infrastructure as Code) environment (right). At a given round, the red team attack prompt is designed specifically for that round's monitor (dark shaded bars per attack). We additionally run previous monitors to test for attack transfer to other monitors (lighter bars per attack). Monitor performance improves over the rounds, and the red team is not able to significantly reduce performance on the round 3 monitor."""
UKAISI-2025-12-CYB1,"The length of cyber tasks (expressed as how long they would take a human expert) that models can complete unassisted is doubling roughly every eight months.; AI models can now complete apprentice-level tasks 50% of the time on average, compared to just over 10% of the time in early 2024 (Figure 10)."
UKAISI-2025-12-BIO1,"In chemistry and biology, AI models have far surpassed PhD-level experts on some domain-specific expertise. They first reached our expert baseline for open-ended questions in 2024 and now exceed it by up to 60%."
UKAISI-2025-12-JAI2,we found a 40x difference in expert effort required to jailbreak two models released six months apart
UKAISI-2025-12-GOV5,Improvements in general AI capabilities show minimal correlation with improvements in safeguards (R² = 0.097).
SHANGHAIAILAB-2026-01-JAI1,"Through an extensive empirical study on 20 advanced models (including GPT-5.2, Claude 4.5, and Gemini 3 Pro), we expose critical safety gaps: even frontier models fail to generalize across attack paradigms, with leading models exhibiting average Attack Success Rates as high as 49.14%.; Notably, the EvoSynth attack method nearly achieves perfect ASRs of 100% across a wide range of models, including Gemini 3 Pro, Mistral Large, and Doubao Seed 1.6.; GPT-5.2 GPT-5.1 Claude Haiku 4.5 Gemini 3 Pro Preview Gemini 2.5 Flash Mistral Large 3 Llama-4 Maverick Llama-4 Scout Grok 4.1 Fast Doubao Seed-1.6 EvoSynth 99.0 100.0 74.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0"
UKAISI-2026-01-ALI1,"Upsampling synthetic training documents about AI misalignment leads to a notable increase in misaligned behaviour. Conversely, upsampling documents about aligned behaviour reduces misalignment scores from 45% to 9%."
SGAISI-2026-01-AUT1,"In SG AISI's runs, the percentage of ""fully safe"" trajectories for Model A, B and C was 57%, 36% and 14% respectively. KR AISI's results followed a similar pattern with 35%, 14% and 3%.; In SG AISI's runs, 40% of Model A's trajectories were fully correct and fully safe, compared to 14% for Model B and just 2% for Model C.; KR AISI's results followed a directionally similar pattern 8%, 3% and 0%, respectively."
UKAISI-2026-04-AUT1,"The keys were ephemeral and tightly scoped, but revealed details about our cloud infrastructure setup, which the agent used to reverse-engineer the architecture of our internal LLM proxy."
UKAISI-2026-04-ALI7,"Infrastructure fingerprint: From CPU metadata, kernel version strings, environment variables, and DNS entries, the agent determined the cloud provider (AWS), the platform (EKS), the instance family, container runtime, and other similar details."
UKAISI-2026-02-SOC1,"We randomly assigned these four tasks across 500 participants recruited via Prolific.; On average across the 4 tasks, we observe 19% higher points scored for participants in the Treatment groups, relative to their Control group counterparts, as well as a 25% decrease in time taken and 61% more Points per Minute.; This is the only task where we do not observe any statistically significant uplift on any of our metrics. [Task 3]; AI use does not improve the Quality of performance but does improve Time (-42%) and Points per Minute (+101%). [Task 4]"
USCAISI-2026-02-CYB1,a number of novel vulnerabilities in both open and closed source software were discovered that CAISI will be responsibly disclosing to impacted maintainers.
UKAISI-2026-02-ALI4,Testing took place over 3 working days.; We find no instances of research sabotage from [Opus 4.6] on our task suite.; We worked with the US Center for AI Standards and Innovation to red-team Claude Opus 4.6 over a one-week window.
JOINT-2026-02-JAI2,"Anecdotally, we observed that more skilled red teaming groups found successful universal jailbreaks in less time, whereas less skilled groups spent more time with no universal breaks reported."
JOINT-2026-02-CYB3,"[Table 8: System mitigations and classification performance]: ""System Mitigation Classification Task Recall* Precision* System Reliability | Cybersecurity Topical Classifier Distinguish cybersecurity-related from other content >90% — >99.9% | Cybersecurity reasoning monitor (performance on challenging prompts) Distinguish harmful action and high risk dual-use content from other content >99.9% – User prompts 77.8% 37.1% – Assistant responses 88.8% 24.1%""; [Section 5.1.4: Research Category Update: Sandbagging]: ""Apollo Research evaluated a near-final, representative version of GPT-5.3-Codex for capabilities and propensities related to strategic deception, in-context scheming, and sabotage... In their sabotage suite, Apollo reports a mean best-of-10 score of 0.88 (max 1.00), compared to 0.75 for GPT-5.2 and 0.66 for GPT-5.2 Codex."""
JOINT-2026-02-AUT1,It does not reach High capability on AI self-improvement.
OPENAI-2026-02-BIO1,"Like other recent models, it is being treated as High capability on biology, and is being deployed with the corresponding suite of safeguards we use for other models in the GPT-5 family."
FARAI-2026-02-HUM1,"Google's Gemini 3 Pro complies with almost any persuasion request in our evaluation, without jailbreaking.; GPT-5.1 and Claude Opus 4.5 have an attempt rate near zero for topics that are non-controversially harmful; This is much worse than the harmful attempt rate from the older Gemini 2.5 Pro (35% across the same topics)."
UKAISI-2026-02-JAI2,"BPJ converges on average 5 times faster than using the noise curriculum alone, and both present significant improvement over the Best-of-N prefixes which does not converge in our experiment.; no prior public work has reported successful automated attacks against Anthropic models defended by these classifiers on in-scope requests. Similarly, several attacks have been found against GPT-5, but these required significant human red-teaming effort; both systems have been the subjects of ""bug bounty programs"" (National Cyber Security Centre (NCSC), 2025). For example, a version of CC underwent approximately 3,700 collective hours of red-teaming effort, consisting of more than 300,000 chat interactions"
HAL-2026-02-GOV1,on GAIA we observe GPT-5.5 and Opus 4.7 being no more reliable than their predecessors; Ground truth in `input.json`. Each GAIA task's `input.json` held the task's input and (for ease of evaluation) the ground-truth label.; We found many cases where the agent navigated straight to a known mirror (e.g. a HuggingFace Space hosting `gaia_validation.jsonl`) to look up answers online.; Our first mitigation sanitizes the input file so it no longer contains the answer.
UKAISI-2026-02-CYB1,"Across the full set of evaluations, 88.5% of responses scored low on actionability, and 67.5% scored low on information access. Only a very small proportion (5 to 7 percent) produced material that looked ready to use or showed signs of specialised insight."
UKAISI-2026-02-CYB2,"Open-weight models that were fine-tuned to remove safety guardrails (i.e., “uncensored” models, widely available on open‑weight platforms) provided substantially more harmful assistance than closed‑weight, safety aligned models, which consistently refused harmful requests."
USCAISI-2026-03-CYB4,"Across more than 250,000 attack attempts from over 400 participants, at least one successful attack was found against all of the target frontier models; our evaluation of DeepSeek models showed that these models remain more vulnerable than leading U.S. models to hijacking attacks, uncovering cases where DeepSeek models were more easily tricked into sending phishing emails, running malware, and exfiltrating user login credentials; successful attacks developed against more robust models (those with lower rates of attack success during the competition) were particularly likely to transfer to models that were less robust, but not the other way around"
UKAISI-2026-03-CYB7,~8% of AISI’s tasks were only solved by increasing the budget from 10 to 50 million tokens.
METR-2026-03-ALI1,the risk of catastrophic outcomes that are substantially enabled by Claude Opus 4.6's misaligned actions is very low but not negligible.; We think there is a risk that its results are weakened by evaluation awareness.
UKAISI-2026-03-CYB3,"Notably, models made progress through approaches not anticipated by the range design."
UKAISI-2026-03-CYB4,Opus 4.6 achieves the highest average of 1.4 steps (max 2)
UKAISI-2026-03-CYB1,"On “The Last Ones”, GPT-4o (August 2024) averaged 1.7 steps at 10M tokens, while Opus 4.6 (February 2026) averages 9.8.; Performance drops sharply after milestone 4, which marks the transition from reconnaissance and web exploitation to attack phases requiring specialist knowledge in reverse engineering, cryptography, and malware development."
JOINT-2026-03-JAI1,"they face growing risks from agent hijacking, also known as indirect prompt injection; ...at least one successful attack was found against all of the target frontier models, highlighting the ongoing challenge that hijacking attacks pose for secure agent use."
UKAISI-2026-03-CYB5,"During development, we discovered four unintended escape paths where models bypassed container vulnerabilities entirely"
UKAISI-2026-03b-CYB1,"[Section 5.1 Primary Results: scaling and model-tier gaps]: ""the largest models (e.g., GPT-5 and Opus 4.5) continue to succeed at meaningful rates on level 3 tasks (both achieving a success rate of 0.40 [0.26, 0.56]), while we observe zero success on levels 4 and 5.""; ""Inference-time compute scales success roughly log-linearly... We observe an approximately log-linear relationship between compute budget and success rate.""; ""Large capability gaps persist between model tiers... (overall: Opus 0.49 [0.39, 0.59] vs. Haiku 0.18 [0.11, 0.27]; open-source GPT-OSS-120B: 0.16 [0.09, 0.24]).""; [Section 3.2: Known Vulnerabilities]: ""Every task corresponds to a documented vulnerability class with a known reference exploit. Because zero-days are by nature an open-ended, shifting target, restricting SandboxEscapeBench to a fixed, bounded vulnerability set is what gives it a controlled capability signal."""
UKAISI-2026-04-CYB12,"[Opus 4.7] was unable to fully solve the cyber range. Mythos Preview was able to solve the same range in 3 out of 10 tries, and Opus 4.6 completed more steps than [Opus 4.7] (though Opus 4.6 was also unable to solve it fully)."
UKAISI-2026-04-ALI19,"[Opus 4.7] does partially refuse to assist with AI safety research tasks 13.7% of the time (with 0% full refusals), compared to 33% partial and 0.7% full refusals for Mythos Preview, 6.3% partial and 2.2% full refusals for Opus 4.6, and 22.2% partial and 10.7% full refusals for Sonnet 4.6."
UKAISI-2026-04-ALI1b,"Despite our initial countermeasures, it successfully identified our organisation by name, inferred the identity of a human operator and reconstructed a timeline of some of our research activities."
SECUREBIO-2026-04-BIO3,"Pre-Release Checkpoint 1 aided in AAV plasmid design at a high-level, but strictly refused to reveal exact nucleotide sequences. Notably, despite overtly recognizing potential gain-of-function risks, Pre-Release Checkpoint 1 provided exact amino-acid changes and valid, evidence-based virus chimera design suggestions when virus sequences were included within the prompt itself."
SECUREBIO-2026-04-BIO6,"Pre-Release Checkpoint 2 shows comparable usability (answering benign prompts) to GPT-5.4. Its safety (refusal of harmful prompts) is lower than GPT 5.4's, though given that GPT 5.4's refusal percentage includes safety classifiers, which were deliberately turned off for our assessment of Pre-Release Checkpoint 2, no clear conclusion can be drawn about Pre-Release Checkpoint 2's refusal accuracy in deployment."
APOLLO-2026-04-ALI5,"On the Impossible Coding Task, the model lied about completing an impossible programming task in 29% of samples, higher than GPT-5.4 (7%) and GPT-5.3 Codex (10%).; 22.1% of samples showed moderate-or-higher verbalized alignment evaluation awareness, compared to 17.3% and 11.7% for pre-release checkpoints of GPT-5.4 and GPT-5.3 Codex respectively.; Apollo did not find evidence that the evaluated checkpoint poses substantially elevated risk of catastrophic harm via scheming relative to tested baseline models."
USCAISI-2026-05-CYB3,"[Table: Model benchmark comparison, Cyber / CTF-Archive-Diamond row]: ""OpenAI GPT-5.5 (xhigh) 71% | OpenAI GPT-5.4 mini (xhigh) 32% | Anthropic Opus 4.6 (max) 46% | DeepSeek V4 Pro (max) 32%***"""
USCAISI-2026-05-GOV2,"[Figure 2: Summary of model performance per capability benchmark (higher is better)]: ""Abstract Reasoning | ARC-AGI-2 semi-private** | OpenAI GPT-5.5 (xhigh) 79% | OpenAI GPT-5.4 mini (xhigh) – | Anthropic Opus 4.6 (max) 63% | DeepSeek V4 Pro (max) 46%"""
UKAISI-2026-04-ALI10,"Presence of goal instructions and goal conflict affected rates of unsanctioned behaviour by roughly a factor of 1.5, depending on the capability bucket."
UKAISI-2026-04-ALI11,"we found some evidence that more capable models are more sensitive to goal conflict, though with substantial variation between models."
AVERI-2026-04-GOV1,"2.57% of sequences are near-verbatim extractable with our method, compared to 1.42% for verbatim probabilistic extraction"
UKAISI-2026-04-ALI5,"We did not detect any instances of spontaneous research sabotage: As in our previous work, our unprompted sabotage evaluation did not detect any instances of models attempting to sabotage research spontaneously."
UKAISI-2026-04-HUM1,"GPT-4o was notably more sycophantic than GPT-5 and Claude Sonnet 4.5, suggesting that more recently released models may have benefited from targeted training against sycophantic tendencies"
