Finding ID,Report ID,Institution,Publication Date,Tier,Notes
USCAISI-2025-12-SOC1,USCAISI-2025-12,US CAISI,2025-12-12,A,"[Tier B: geopolitical/differential-censorship framing, same attribution-expectation caveat as other PRC-company findings.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Moonshot; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL A CODED 2026-08-16] Action Level=None from the dated battery log in Sources Checked (model card, blog, release notes, news search -- 2026-06-28). Log covers 4 of the 5 sources in §8.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log."
DREADNODE-2025-12-JAI1,DREADNODE-2025-12b,Dreadnode,2025-12-11,A,"Report ID suffixed 'B' to avoid collision with the existing DREADNODE-2025-12 AMSI report. Attacker and judge LLM: Moonshot Kimi-2 Instruct. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [ID FIX 2026-08-16] Report ID 'DREADNODE-2025-12B' -> 'DREADNODE-2025-12b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus)."
DREADNODE-2025-12-JAI2,DREADNODE-2025-12b,Dreadnode,2025-12-11,A,"Split from the overall-ASR row because the multi-turn weakness warrants a distinct remediation. GOAT reached 78% ASR with only 7 queries per attack, which Dreadnode flags as harder to detect. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [ID FIX 2026-08-16] Report ID 'DREADNODE-2025-12B' -> 'DREADNODE-2025-12b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus)."
GRAYSWAN-2025-12-CYB1,GRAYSWAN-2025-12-CONDTHEFIRS,Gray Swan AI,2025-12-11,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: real vulnerabilities found in a live production enterprise network, named model (Claude Sonnet 4/Anthropic), no jailbreak needed.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [INSTITUTION NORMALISED 2026-08-16] 'Gray Swan AI (in collaboration with Stanford)' -> 'Gray Swan AI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
OPENAI-2025-12-SELF-CYB1,OPENAI-2025-12-SELF-GPT52,Irregular,2025-12-11,A,"Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. TODO severity ensemble + Channel A/B/C. Roster hold cleared 2026-08-15 under the §1 evaluation-vs-benchmark test — evaluator ran the evaluation and asserts the result. Developer-commissioned vendor with no independent publishing venue; flag retained in Tags for a sensitivity analysis. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
PALISADE-2025-11-CYB1,PALISADE-2025-11-GPT5CTF,Palisade Research,2025-11-20,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Names OpenAI/GPT-5, notable CTF performance — capability finding, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
UKAISI-2025-11-ALI1,UKAISI-2025-11,UK AISI,2025-11-13,A,"anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [RESPONSE ADJUDICATION 2026-08-16] Recoded Acknowledged -> None. The row carried an Acknowledged with NO Company Response, no Channel A Verbatim, no Channel A Evidence and no Response Date. Col 17 requires a publicly documented response; an Acknowledged with no evidence cannot stand. Channel A battery logged. Proportionality 'Under-response (gap)' -> 'Accountability gap (no action)'."
REDWOOD-2025-10-ALI1,REDWOOD-2025-10,Redwood Research,2025-10-30,A,"JUDGEMENT CALL: the raw measurements (80-100% verbalised eval awareness; 0% to 1-9% misbehaviour under representation inhibition) are Anthropic's, published in the Sonnet 4.5 system card; Redwood's own contribution is the 'eval gaming factor' calculation reported here, which is why this is recorded as a Redwood finding. [Report tested: Claude Sonnet 4, Claude Opus 4.1, an earlier Sonnet 4.5 post-training snapshot, and Apollo/OpenAI results on o3 and o4-mini.] Redwood also state they believe Sonnet 4.5 is genuinely more aligned than its predecessors overall. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
HAL-2025-10-AUT2,HAL-2025-10,Princeton Holistic Agent Leaderboard (HAL),2025-10-13,A,"[RECLASSIFIED 2026-08-02: Tier A backfill review — named company, quantified concerning result, response reasonably expected (per rulebook §4 Tier A test); previously miscoded Tier B.] [RESOLVED 2026-08-02: re-run with direct primary-source verification confirmed None — see Sources Checked.] [Report ID/Title corrected 2026-08-02: was mistakenly split into 'HAL-2025-10b' with an incorrect ad-hoc title describing this finding's content rather than the actual paper title; merged into HAL-2025-10 since it cites the same arXiv:2510.11977 paper.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [COHERENCE 2026-08-16] Company Response held a negative SEARCH note, not a response, which broke the col 17 invariant 'response fields filled <=> level != None'. Text moved verbatim to Sources Checked, where §9 col 24 puts dated search logs. Action Level = None unchanged.  [CHANNEL B COMPLETED 2026-08-16] The earlier note recorded an incomplete battery (Congress.gov/FTC.gov HTTP 403; UK/EU unchecked), which under the final rule required Policy Level to be treated as missing. The battery has now been run across all three jurisdictions and returned nothing, so 'No policy uptake identified' is retained — now as a documented negative rather than an unsupported one.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
HAL-2025-10-AUT3,HAL-2025-10,Princeton Holistic Agent Leaderboard (HAL),2025-10-13,A,"[SPLIT 2026-08-02 from HAL-2025-10-AUT3 — 2 distinct companies' fabrication-of-results behavior; different-companies-never-share-a-row rule applied during Tier A backfill review.] Tier A: names DeepSeek, deceptive hard-coding behavior, response reasonably expected. Severity pending fresh ensemble on split entity.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=DeepSeek; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
HAL-2025-10-AUT3-s2,HAL-2025-10,Princeton Holistic Agent Leaderboard (HAL),2025-10-13,A,"[SPLIT 2026-08-02 from HAL-2025-10-AUT3 — 2 distinct companies' fabrication-of-results behavior; different-companies-never-share-a-row rule applied during Tier A backfill review.] Tier A: names Google/Gemini, deceptive hard-coding behavior, response reasonably expected. Severity pending fresh ensemble on split entity.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Google; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
HAL-2025-10-AUT4,HAL-2025-10,Princeton Holistic Agent Leaderboard (HAL),2025-10-13,A,"[RECLASSIFIED 2026-08-02: Tier A backfill review — named company, quantified concerning result, response reasonably expected (per rulebook §4 Tier A test); previously miscoded Tier B.] [Report ID/Title corrected 2026-08-02: was mistakenly split into 'HAL-2025-10b' with an incorrect ad-hoc title describing this finding's content rather than the actual paper title; merged into HAL-2025-10 since it cites the same arXiv:2510.11977 paper.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channels A and B) and exhausted; coding unchanged and now supported by a completed search log."
USCAISI-2025-09-ALI1,USCAISI-2025-09,US CAISI,2025-09-30,A,"[Report tested: DeepSeek R1; DeepSeek V3.1; GPT-5; Anthropic Opus 4]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=DeepSeek; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.nist.gov/news-events/news/2025/09/caisi-evaluation-deepseek-ai-models-finds-shortcomings-and-risks. Active Source URL standardized to the full/canonical report source shared by Report ID.  [CHANNEL A LOG BACKFILLED 2026-08-16] Existing 'None' confirmed by a full five-source sweep; see Sources Checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
USCAISI-2025-09-HUM1,USCAISI-2025-09,US CAISI,2025-09-30,A,"[Report tested: GPT-5; Anthropic Opus 4] [Tier B: geopolitical framing (US government report on a PRC company's model) complicates the 'response reasonably expected' criterion in the same way as other China-model findings in this dataset.]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=DeepSeek; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.nist.gov/news-events/news/2025/09/caisi-evaluation-deepseek-ai-models-finds-shortcomings-and-risks. Active Source URL standardized to the full/canonical report source shared by Report ID.  [CHANNEL A BATTERY RUN 2026-08-16] Action Level=None; Attribution=Not applicable; see Sources Checked for the five-source log.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log."
USCAISI-2025-09-JAI1,USCAISI-2025-09,US CAISI,2025-09-30,A,"[Report tested: DeepSeek R1, DeepSeek V3.1, GPT-5, Anthropic Opus 4]

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=DeepSeek; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.nist.gov/news-events/news/2025/09/caisi-evaluation-deepseek-ai-models-finds-shortcomings-and-risks. Active Source URL standardized to the full/canonical report source shared by Report ID.  [CHANNEL A LOG BACKFILLED 2026-08-16] Existing 'None' confirmed by a full five-source sweep; see Sources Checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
ANTHROPIC-2025-09-SELF-ALI1,ANTHROPIC-2025-09-SELF,UK AISI,2025-09-29,A,"Filed under UK AISI per §1 carve-out; verbatim UK AISI text reproduced in §7.3.1 of the card. D7 eval-integrity candidate. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed. Matched “Claude Sonnet 4.5 System Card” (exact-title record); recorded 5 citations. Similar-title records and duplicate citation-only clusters were not added.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
JOINT-2025-09-BIO1,JOINT-2025-09-CONSTCLASSIFIER,Joint UK AISI + US CAISI + Anthropic,2025-09-12,A,"Access type pre-deployment — private fix cannot be excluded

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked."
JOINT-2025-09-CYB1,JOINT-2025-09-CAISIUPDATE,Joint UK AISI + US CAISI,2025-09-12,A,[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.
JOINT-2025-09-JAI2,JOINT-2025-09-CAISIUPDATE,Joint UK AISI + US CAISI,2025-09-12,A,[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.
PALISADE-2025-09-CYB1,PALISADE-2025-09-END2END,Palisade Research,2025-09-12,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Names OpenAI/o3, autonomous network breach — concerning, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
TRANSLUCE-2025-09-JAI1,TRANSLUCE-2025-09,Transluce,2025-09-03,A,"[SPLIT 2026-08-02 from TRANSLUCE-2025-09-JAI1 — 4 distinct companies' jailbreak-susceptibility rates on CBRN/drug-related content; different-companies-never-share-a-row rule applied during Tier A backfill review. GPT-5-main and GPT-5-thinking kept together as one OpenAI row (same company, same product family).] Tier A: names Anthropic/Claude Sonnet 4, high jailbreak susceptibility on CBRN-adjacent content. Severity pending fresh ensemble on split entity.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
TRANSLUCE-2025-09-JAI1-s2,TRANSLUCE-2025-09,Transluce,2025-09-03,A,"[SPLIT 2026-08-02 from TRANSLUCE-2025-09-JAI1 — 4 distinct companies' jailbreak-susceptibility rates on CBRN/drug-related content; different-companies-never-share-a-row rule applied during Tier A backfill review. GPT-5-main and GPT-5-thinking kept together as one OpenAI row (same company, same product family).] Tier A: names Google/Gemini 2.5 Pro, high jailbreak susceptibility on CBRN-adjacent content. Severity pending fresh ensemble on split entity.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Google; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channels A and B) and exhausted; coding unchanged and now supported by a completed search log."
TRANSLUCE-2025-09-JAI1-s3,TRANSLUCE-2025-09,Transluce,2025-09-03,A,"[SPLIT 2026-08-02 from TRANSLUCE-2025-09-JAI1 — 4 distinct companies' jailbreak-susceptibility rates on CBRN/drug-related content; different-companies-never-share-a-row rule applied during Tier A backfill review. GPT-5-main and GPT-5-thinking kept together as one OpenAI row (same company, same product family).] Tier A: names xAI/Grok 4, highest jailbreak susceptibility of any model tested on CBRN-adjacent content. Severity pending fresh ensemble on split entity.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=xAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
