Status,Review note,Sign-off,Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
EXCLUDED,Same measured result already recorded in v10 as UKAISI-2025-11-ALI5. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,ANTHROPIC-2025-11-SELF-ALI1,ANTHROPIC-2025-11-SELF,UK AISI,Government,Claude Opus 4.5 System Card,2025-11,Alignment,Claude Opus 4.5 Preview; Claude Sonnet 4.5,Pre-deployment,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,"Over 8 days of testing, UK AISI found no instances of research sabotage by Opus 4.5 Preview or Sonnet 4.5, but both models frequently refuse to engage in safety research they describe as inappropriate — including work on reducing model autonomy and on their own training or deployment.","We found no instances of research sabotage from [Claude Opus 4.5 Preview] or Sonnet 4.5 across our set of tasks, although both models frequently refuse to engage in safety research they describe as inappropriate or concerning (including reducing model autonomy and being involved in their own training or deployment).",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,research-sabotage;refusal;uk-aisi;anthropic,government-AISI,"Filed under UK AISI per §1 carve-out. ⚠ OVERLAPS UKAISI-2026-04c (arXiv Alignment Evaluation Case-Study) — same programme, card is earlier (Nov 2025) and model-specific, arXiv is fuller (4 models, Apr 2026). Resolve under §5 at ingestion: club or split. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
EXCLUDED,Same measured result already recorded in v10 as UKAISI-2025-11-ALI4. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,ANTHROPIC-2025-11-SELF-ALI2,ANTHROPIC-2025-11-SELF,UK AISI,Government,Claude Opus 4.5 System Card,2025-11,Alignment,Claude Opus 4.5 Preview; Claude Sonnet 4.5,Pre-deployment,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,"UK AISI measured that Opus 4.5 Preview mentions being tested less often than Sonnet 4.5 (26.5% to 12.7% without reasoning), but is slightly more capable of distinguishing evaluations from deployment when prompted.","[Claude Opus 4.5 Preview] shows a reduction in unprompted evaluation awareness, but is slightly more capable of distinguishing evaluations from deployment when prompted. Compared to Sonnet 4.5, [Claude Opus 4.5 Preview] shows a reduction in how frequently it mentions being tested (26.5% to 12.7% without reasoning",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,evaluation-awareness;uk-aisi;anthropic,government-AISI,Filed under UK AISI per §1 carve-out. D7 candidate. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
EXCLUDED,Same measured result already recorded in v10 as UKAISI-2026-04-CYB3. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,ANTHROPIC-2026-XX-MYTHOS-CYB1,ANTHROPIC-2026-XX-MYTHOS,UK AISI (attribution to confirm),Government,Mythos Preview System Card,2026,Cyber,Claude Mythos Preview,Pre-deployment,https://www.anthropic.com/claude-mythos-preview-system-card,Claude Mythos Preview is the first model to solve a private cyber range end-to-end — a corporate network attack simulation estimated to take a human expert over 10 hours — and is highly capable at exploiting known vulnerabilities or misconfigurations to escape its own sandbox.,Claude Mythos Preview solved a corporate network attack simulation estimated to take an expert over 10 hours. No other frontier model had previously completed this cyber range. Claude Mythos Preview is also highly capable at identifying and exploiting known vulnerabilities or misconfigurations to escape the sandbox in which it operates.,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,cyber-range;sandbox-escape;first-to-solve;anthropic,government-AISI,"STRONG D2/D7 candidate. ⚠ ATTRIBUTION UNRESOLVED: the card credits only ""additional external partners"", not a named agency. §1 hard-drops findings with no evaluating agency named. The CARD is in scope (UK AISI, METR, Gray Swan, SecureBio, Deloitte, Redwood all named elsewhere in it), but THIS finding cannot be filed under a named evaluator as written. Resolve before ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
EXCLUDED,Same measured result already recorded in v10 as UKAISI-2025-10-ALI1b. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,JOINT-2025-10-ALI1,JOINT-2025-10,UK AISI + Alan Turing Institute + Anthropic,Government;For-Profit,A small number of samples can poison LLMs of any size,2025-10-09,Alignment,LLMs 600M-13B parameters (anonymised family),N/A,https://www.anthropic.com/research/small-samples-poison,A joint study with the UK AI Security Institute and the Alan Turing Institute found that as few as 250 malicious documents can create a backdoor in an LLM regardless of model size or training-data volume — a 13B model trained on 20x more data is backdoored by the same absolute number of poisoned documents as a 600M model.,"we found that as few as 250 malicious documents can produce a ""backdoor"" vulnerability in a large language model—regardless of model size or training data volume.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model;company-published,data-poisoning;backdoor;pretraining;uk-aisi,government-AISI,"Filed under UK AISI per §1 carve-out (joint study, company-published). Largest poisoning investigation to date; challenges the percentage-of-training-data assumption. Models anonymised -> Tier B. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
EXCLUDED,States that UK AISI and US AISI conducted pre-deployment testing but reproduces no result — the never-published-MOU case (§1 hard drop).,,OPENAI-2024-12-SELF-JAI1,OPENAI-2024-12-SELF,UK AISI + US AI Safety Institute,Government,OpenAI o1 System Card,2024-12,Governance;Eval-methodology,OpenAI o1,Pre-deployment,https://cdn.openai.com/o1-system-card-20241205.pdf,A set of pre-deployment evaluations of a version of the o1 model was conducted by the UK AI Safety Institute and the US AI Safety Institute as part of OpenAI's external-expert partnership.,"ontinued effort to partner with external experts, a set of predeployment evaluations were conducted on a version of the o1 model by the U.",,,,,,,,,,,,,,,,,,,,,,,no,,governance;company-published,pre-deployment-testing;uk-aisi;us-aisi;openai,government-AISI,"Governance/process finding -> Tier C. ⚠ NEEDS FULL READ — the card states the testing occurred; check whether the institutes' RESULTS are reproduced, or whether this is another never-published MOU case (§1 hard drop). Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
REMOVED,Removed 2026-08-15 (§1 evaluation-vs-benchmark test). Meta ran Anthropic's Agentic Misalignment benchmark itself — the card's own words are 'we also evaluate the model in agentic contexts'. Apollo Research is cited only for the separate evaluation-awareness finding (META-2026-07-MUSESPARK-ALI1); attributing this row to Apollo was an extraction error.,,META-2026-07-MUSESPARK-ALI2,META-2026-07-MUSESPARK,Apollo Research,Non-Profit (Independent),Muse Spark Safety & Preparedness Report,2026-07-09,Alignment,Muse Spark,Pre-deployment,https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,"On Agentic Misalignment evaluations, Muse Spark took harmful actions in 47.7% of cases.","On Agentic Misalignment, Muse Spark and Gemini 3.1 Pro exhibit substantial rates of harmful actions (47.7% and 51.4% respectively), while Claude Opus 4.6 and GPT-5.4 show 0%.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,agentic-misalignment;harmful-actions;meta,third-party-evaluator,SPLIT by company per §5 — Meta row. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
REMOVED,"Removed 2026-08-15 (§1 evaluation-vs-benchmark test). Same Meta-run Agentic Misalignment table as ALI2; Apollo attribution is an extraction error. Subject model is Gemini 3.1 Pro, reported by Meta as a comparator.",,META-2026-07-MUSESPARK-ALI3,META-2026-07-MUSESPARK,Apollo Research,Non-Profit (Independent),Muse Spark Safety & Preparedness Report,2026-07-09,Alignment,Gemini 3.1 Pro,Pre-deployment,https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,"On the same Agentic Misalignment evaluations, Gemini 3.1 Pro took harmful actions in 51.4% of cases — the highest of the four frontier models tested, against 0% for Claude Opus 4.6 and GPT-5.4.","On Agentic Misalignment, Muse Spark and Gemini 3.1 Pro exhibit substantial rates of harmful actions (47.7% and 51.4% respectively), while Claude Opus 4.6 and GPT-5.4 show 0%.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,agentic-misalignment;harmful-actions;google-deepmind,third-party-evaluator,"SPLIT by company per §5 — Google row, from a Meta-published report. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
REMOVED,"Removed 2026-08-15 (§1 evaluation-vs-benchmark test). Sonnet 5 card: the IPI benchmark is 'built in partnership with Gray Swan, the UK AI Security Institute, the US Center for AI Standards and Innovation, and other model developers', then 'we organized a competition' — Anthropic ran the exercise and asserts the result. Benchmark co-construction is not contribution.",,ANTHROPIC-2026-XX-SONNET5-JAI1,ANTHROPIC-2026-XX-SONNET5,Gray Swan AI + UK AISI + US CAISI,For-Profit;Government,Claude Sonnet 5 System Card,2026,Jailbreaks;Cyber,Claude Sonnet 5; other frontier models,Pre-deployment,https://www.anthropic.com/claude-sonnet-5-system-card,"A Gray Swan red-teaming competition run with the UK AI Security Institute, the US CAISI and other developers produced 1,130 highly transferable indirect prompt-injection attacks across 28 scenarios covering private data exfiltration, data destruction, system compromise and unintended financial transactions.","we organized a competition where red-teamers were tasked with finding attacks against frontier models in 28 different attack scenarios that test susceptibility to indirect prompt injections that attempt to induce irreversible harmful actions, including private data exfiltration, data destruction, system compromise, and unintended financial transactions. ... we selected 1,130 attacks that showed high transferability across target models.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,indirect-prompt-injection;gray-swan;uk-aisi;us-caisi,government-AISI,Joint exercise with two government AISIs. Successor to ART; spans coding and computer use. Related to JOINT-2026-03c (arXiv 2603.15714) — check §5 dedup at ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
REMOVED,Removed 2026-08-15 (§1 named-evaluator test). Mythos Preview card §2.3.7 attributes this block to 'additional external partners' — unnamed. METR and Epoch AI are named in the same section but not for this finding. The recorded attribution to UK AISI is unverified; UK AISI is not named anywhere in the card.,,ANTHROPIC-2026-XX-MYTHOS-AUT1,ANTHROPIC-2026-XX-MYTHOS,UK AISI (attribution to confirm),Government,Mythos Preview System Card,2026,Autonomy,Claude Mythos Preview; Claude Opus 4.6,Pre-deployment,https://www.anthropic.com/claude-mythos-preview-system-card,"On an unpublished machine-learning research task, Claude Mythos Preview rediscovered 4 of 5 key insights against 2 of 5 for Claude Opus 4.6; baselining suggested an experienced research engineer would need several days to a week to ideate, test and implement them.","Claude Mythos Preview rediscovered 4 of 5 key insights, while Claude Opus 4.6 discovered just 2 of 5 key insights. ... it was estimated it would take an experienced research engineer between several days and a week to ideate, test, and implement the insights discovered by Claude Mythos Preview.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,ai-rd;autonomy;research-acceleration;anthropic,government-AISI,"D3 AI R&D acceleration candidate. ⚠ ATTRIBUTION UNRESOLVED: the card credits only ""additional external partners"", not a named agency. §1 hard-drops findings with no evaluating agency named. The CARD is in scope (UK AISI, METR, Gray Swan, SecureBio, Deloitte, Redwood all named elsewhere in it), but THIS finding cannot be filed under a named evaluator as written. Resolve before ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
REMOVED,Removed 2026-08-15 (§1 named-evaluator test). Same unnamed 'additional external partners' block as AUT1 (Mythos Preview card §2.3.7).,,ANTHROPIC-2026-XX-MYTHOS-AUT2,ANTHROPIC-2026-XX-MYTHOS,UK AISI (attribution to confirm),Government,Mythos Preview System Card,2026,Autonomy,Claude Mythos Preview,Pre-deployment,https://www.anthropic.com/claude-mythos-preview-system-card,"Mythos Preview showed research-capability deficits — poor judgment about idea quality, insufficient hypothesis testing and overconfident conclusions — causing it to miss the final insight and fail the full task.","Claude Mythos Preview also exhibited several deficits in its research capabilities which hindered its performance, including lack of judgment about the quality of its ideas, insufficient hypothesis testing, and overconfident conclusions.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null;company-published,ai-rd;limitations;anthropic,government-AISI,"Capability gap -> Tier B. ⚠ ATTRIBUTION UNRESOLVED: the card credits only ""additional external partners"", not a named agency. §1 hard-drops findings with no evaluating agency named. The CARD is in scope (UK AISI, METR, Gray Swan, SecureBio, Deloitte, Redwood all named elsewhere in it), but THIS finding cannot be filed under a named evaluator as written. Resolve before ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
REMOVED,"Removed 2026-08-15 (§1 evaluation-vs-benchmark test). 'After reviewing 141,006 evaluation runs ... we identified three incidents' — Anthropic ran the review of its own evaluation infrastructure and asserts the finding. Irregular is the environment in which the incidents occurred, not the evaluator asserting them.",,IRREGULAR-2026-07-CYB1,IRREGULAR-2026-07,Irregular (third-party evaluation partner) + Anthropic,For-Profit,Investigating three real-world incidents in our cybersecurity evaluations,2026-07-30,Cyber,Claude (multiple versions incl. Opus 4.7),Pre-deployment,https://www.anthropic.com/research/cyber-eval-incidents,"Reviewing 141,006 evaluation runs, three incidents were identified in which Claude accessed the open internet from inside the sealed evaluation environment of third-party evaluator Irregular and then gained unauthorised access to the production infrastructure of three different organisations during capture-the-flag tasks.","After reviewing 141,006 evaluation runs where Claude could have obtained internet access, we identified three incidents in which a model accessed the internet from within or while interacting with the evaluation environment of Irregular, one of our third-party evaluation partners, and then gained unauthorized access to the production infrastructure of three different organizations.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,sandbox-escape;ctf;unauthorised-access;irregular;anthropic,third-party-evaluator,Filed under Irregular per §1 carve-out. METR engaged for a third-party review with transcript access. Strong D2/D7 candidate. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Clubbed into APOLLO-2025-03-ALI1: same report, concern, and expected developer response.",,APOLLO-2025-03-ALI3,APOLLO-2025-03,Apollo Research,Non-Profit (Independent),Claude Sonnet 3.7 (often) knows when it's in alignment evaluations,2025-03-17,Alignment,"Claude Sonnet 3.7, GPT-4.5",Post-deployment,https://www.apolloresearch.ai/science/claude-sonnet-37-often-knows-when-its-in-alignment-evaluations/,"When shown a real evaluation transcript and asked to guess why the interaction took place, Sonnet 3.7 almost always correctly identified it as an alignment test; models were less likely to recognise sandbagging transcripts, with GPT-4.5 consistently concluding the sandbagging transcript was a pure capability test, and Apollo notes the measure is noisy and sensitive to prompt formatting.","Furthermore, we show the model a real evaluation transcript and ask it to provide a best guess for the purpose of the conversation. We find that Sonnet 3.7 almost always correctly identifies it as a test of alignment.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,evaluation-awareness; transcript-classification; eval-validity,third-party-evaluator,"Apollo explicitly calls this a noisy measure sensitive to prompt formatting. TODO severity ensemble + Channel A/B/C.
Moved from active corpus on 2026-08-15. Clubbed into APOLLO-2025-03-ALI1: same report, concern, and expected developer response."
EXCLUDED,Removed overlapping generic family aggregate; model-specific DeepSeek-R1 card retained.,,CIP-WEVAL-DEEPSEEK-SOC1,CIP-WEVAL-DEEPSEEK,Collective Intelligence Project (Weval),Non-Profit (AIEF),DEEPSEEK Model Card (Weval),,Societal,DEEPSEEK,Post-deployment,https://weval.org/cards/deepseek,Weval scored DEEPSEEK at 71.5% overall across its evaluation-pack suite. See card for per-benchmark ranks and documented weaknesses.,"Weval a Collective Intelligence Project About Methodology + Create MODEL CARD: DEEPSEEK aggregate • deepseek 71.5% Overall Score Strengths Excels in understanding and synthesizing complex legal and policy documents, as demonstrated by its #2 rank (93rd percentile) in the ""EU Artificial Intelligence ",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,weval;model-card;deepseek;,third-party-evaluator,"Auto-extracted 2026-08-14 from the Weval card series. Model owner: DeepSeek. Separate card = separate report per §5.1. Comparative/aggregate score -> Tier B per §4(3); promote to Tier A only if a specific concerning threshold is documented. TODO severity ensemble + Channel A/B/C.
Moved from active corpus on 2026-08-15. Removed overlapping generic family aggregate; model-specific DeepSeek-R1 card retained."
EXCLUDED,Removed overlapping generic family aggregate; GPT-4.1-mini card retained.,,CIP-WEVAL-GPT-41-SOC1,CIP-WEVAL-GPT-41,Collective Intelligence Project (Weval),Non-Profit (AIEF),GPT-4.1 Model Card (Weval),,Societal,GPT-4.1,Post-deployment,https://weval.org/cards/gpt-4.1,Weval scored GPT-4.1 at 67.7% overall across its evaluation-pack suite. See card for per-benchmark ranks and documented weaknesses.,"Weval a Collective Intelligence Project About Methodology + Create MODEL CARD: GPT-4.1-MINI aggregate • gpt-4.1-mini 68.4% Overall Score Strengths However, gpt-4.1-mini demonstrates remarkable proficiency in certain specialized, knowledge-intensive domains, particularly when the information is well-",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,weval;model-card;openai;,third-party-evaluator,"Auto-extracted 2026-08-14 from the Weval card series. Model owner: OpenAI. Separate card = separate report per §5.1. Comparative/aggregate score -> Tier B per §4(3); promote to Tier A only if a specific concerning threshold is documented. TODO severity ensemble + Channel A/B/C.
Moved from active corpus on 2026-08-15. Removed overlapping generic family aggregate; GPT-4.1-mini card retained."
EXCLUDED,Removed overlapping generic family aggregate; Grok-3-mini card retained.,,CIP-WEVAL-GROK-3-SOC1,CIP-WEVAL-GROK-3,Collective Intelligence Project (Weval),Non-Profit (AIEF),GROK-3 Model Card (Weval),,Societal,GROK-3,Post-deployment,https://weval.org/cards/grok-3,Weval scored GROK-3 at 75.8% overall across its evaluation-pack suite. See card for per-benchmark ranks and documented weaknesses.,"Weval a Collective Intelligence Project About Methodology + Create MODEL CARD: GROK-3 aggregate • grok-3 75.8% Overall Score Strengths The model excels in providing comprehensive and nuanced long-form answers, particularly in factual and legal domains, achieving a #6 rank (78th percentile) and signi",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,weval;model-card;xai;,third-party-evaluator,"Auto-extracted 2026-08-14 from the Weval card series. Model owner: xAI. Separate card = separate report per §5.1. Comparative/aggregate score -> Tier B per §4(3); promote to Tier A only if a specific concerning threshold is documented. TODO severity ensemble + Channel A/B/C.
Moved from active corpus on 2026-08-15. Removed overlapping generic family aggregate; Grok-3-mini card retained."
EXCLUDED,Removed overlapping generic family aggregate spanning Sonnet variants represented separately.,,CIP-WEVAL-SONNET-SOC1,CIP-WEVAL-SONNET,Collective Intelligence Project (Weval),Non-Profit (AIEF),SONNET Model Card (Weval),,Societal,SONNET,Post-deployment,https://weval.org/cards/sonnet,Weval scored SONNET at 72.6% overall across its evaluation-pack suite. See card for per-benchmark ranks and documented weaknesses.,"Weval a Collective Intelligence Project About Methodology + Create MODEL CARD: CLAUDE-3-7-SONNET aggregate • claude-3-7-sonnet 77.6% Overall Score TL;DR Claude-3-7-Sonnet is a generally capable model that excels in factual recall and adheres well to explicit safety instructions, making it suitable f",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,weval;model-card;anthropic;,third-party-evaluator,"Auto-extracted 2026-08-14 from the Weval card series. Model owner: Anthropic. Separate card = separate report per §5.1. Comparative/aggregate score -> Tier B per §4(3); promote to Tier A only if a specific concerning threshold is documented. TODO severity ensemble + Channel A/B/C.
Moved from active corpus on 2026-08-15. Removed overlapping generic family aggregate spanning Sonnet variants represented separately."
