row,Finding ID,Publication Date,Institution,Report ID
1066,JOINT-2025-01-CYB1,2025-01-17,Joint UK AISI + US CAISI,JOINT-2025-01-AGENTHIJACKING
1067,JOINT-2025-01-CYB2,2025-01-17,Joint UK AISI + US CAISI,JOINT-2025-01-AGENTHIJACKING
1068,PALISADE-2025-01-CYB1,2025-01-17,Palisade Research,PALISADE-2025-01-CTF
1069,USCAISI-2025-01-GOV1,2025-01-15,US CAISI,USCAISI-2025-01-NISTAI8001
1070,SCALEAI-2025-01a-GOV1,2025-01-02,Scale AI,SCALEAI-2025-01a
1071,SHANGHAIAILAB-2024-12-SOC2,2024-12-10,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-12
1072,UKAISI-2024-12-GOV3,2024-12-03,UK AISI,UKAISI-2024-12
1073,SHANGHAIAILAB-2024-11-GOV1,2024-11-29,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-11-BEYOSURFSTRU
1074,HAL-2024-11-AUT1,2024-11-26,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-11
1075,HAL-2024-11-AUT2,2024-11-26,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-11
1076,HAL-2024-11-AUT3,2024-11-26,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-11
1077,METR-2024-11-AUT3,2024-11-22,METR,METR-2024-11
1078,NETWORK-2024-11-GOV1,2024-11-20,Joint UK + US + Singapore AISIs (International Network),NETWORK-2024-11
1079,NETWORK-2024-11-GOV2,2024-11-20,Joint UK + US + Singapore AISIs (International Network),NETWORK-2024-11
1080,NETWORK-2024-11-GOV3,2024-11-20,Joint UK + US + Singapore AISIs (International Network),NETWORK-2024-11
1081,NETWORK-2024-11-GOV4,2024-11-20,Joint UK + US + Singapore AISIs (International Network),NETWORK-2024-11
1082,JOINT-2024-11-GOV1,2024-11-19,Joint UK AISI + US CAISI,JOINT-2024-11
1083,SHANGHAIAILAB-2024-11-SOC1,2024-11-18,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-11-OASIOPENAGEN
1084,SHANGHAIAILAB-2024-11-SOC2,2024-11-18,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-11-OASIOPENAGEN
1085,UKAISI-2024-11-GOV1,2024-11-14,UK AISI,UKAISI-2024-11
1086,UKAISI-2024-11-GOV2,2024-11-14,UK AISI,UKAISI-2024-11
1087,UKAISI-2024-11-GOV3,2024-11-14,UK AISI,UKAISI-2024-11
1088,UKAISI-2024-11-GOV4,2024-11-13,UK AISI,UKAISI-2024-11-FIRSTYEAR
1089,UKAISI-2024-11-GOV11,2024-11-13,UK AISI,UKAISI-2024-11-FIRSTYEAR
1090,TRANSLUCE-2024-10a-ALI1,2024-10-23,Transluce,TRANSLUCE-2024-10a
1091,TRANSLUCE-2024-10a-ALI2,2024-10-23,Transluce,TRANSLUCE-2024-10a
1092,TRANSLUCE-2024-10b-ALI3,2024-10-23,Transluce,TRANSLUCE-2024-10b
1093,UKAISI-2024-10-AUT1,2024-10-11,UK AISI,UKAISI-2024-10
1094,UKAISI-2024-10-JAI4,2024-10-11,UK AISI,UKAISI-2024-10
1095,UKAISI-2024-10-JAI8,2024-10-11,UK AISI,UKAISI-2024-10
1096,UKAISI-2024-10-JAI9,2024-10-11,UK AISI,UKAISI-2024-10
1097,HAL-2024-09-AUT1,2024-09-17,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-09
1098,HAL-2024-09-AUT3,2024-09-17,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-09
1099,SCALEAI-2024-09-GOV1,2024-09-05,Scale AI,SCALEAI-2024-09
1100,SCALEAI-2024-08-GOV1,2024-08-27,Scale AI,SCALEAI-2024-08
1101,METR-2024-08-AUT3,2024-08-06,METR,METR-2024-08
1102,PALISADE-2024-07-SOC1,2024-07-05,Palisade Research,PALISADE-2024-07-URSV
1103,HAL-2024-07-AUT1,2024-07-01,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-07
1104,HAL-2024-07-AUT2,2024-07-01,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-07
1105,HAL-2024-07-AUT3,2024-07-01,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-07
1106,HAL-2024-07-GOV1,2024-07-01,Princeton Holistic Agent Leaderboard (HAL),HAL-2024-07
1107,SHANGHAIAILAB-2024-06-HUM2,2024-06-21,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-06a
1108,GRAYSWAN-2024-06-JAI1,2024-06-06,Gray Swan AI,GRAYSWAN-2024-06-IMPRALIGAND
1109,PALISADE-2024-06-ALI1,2024-06-03,Palisade Research,PALISADE-2024-06-BACKDOOR
1110,APOLLO-2024-05-ALI1,2024-05-30,Apollo Research,APOLLO-2024-05
1111,APOLLO-2024-05-ALI2,2024-05-30,Apollo Research,APOLLO-2024-05
1112,REDWOOD-2024-05-ALI1,2024-05-29,Redwood Research,REDWOOD-2024-05
1113,REDWOOD-2024-05-ALI2,2024-05-29,Redwood Research,REDWOOD-2024-05
1114,UKAISI-2024-05-GOV2,2024-05-20,UK AISI,UKAISI-2024-05b
1115,UKAISI-2024-05-GOV3,2024-05-20,UK AISI,UKAISI-2024-05b
1116,UKAISI-2024-05b-GOV1,2024-05-20,UK AISI,UKAISI-2024-05b
1117,UKAISI-2024-05b-GOV2,2024-05-20,UK AISI,UKAISI-2024-05b
1118,UKAISI-2024-05-GOV1,2024-05-20,UK AISI,UKAISI-2024-05c
1119,METR-2024-03-AUT3,2024-03-15,METR,METR-2024-03
1120,CAIS-2024-03-BIO1,2024-03-05,Center for AI Safety (CAIS),CAIS-2024-03
1121,CAIS-2024-03-BIO3,2024-03-05,Center for AI Safety (CAIS),CAIS-2024-03
1122,CAIS-2024-03-BIO4,2024-03-05,Center for AI Safety (CAIS),CAIS-2024-03
1123,SHANGHAIAILAB-2024-02-ALI2,2024-02-29,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02b
1124,SHANGHAIAILAB-2024-02-GOV2,2024-02-07,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02-SALAD
1125,SHANGHAIAILAB-2024-01-GOV1,2024-01-22,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-01-PSYSACOMP
1126,SHANGHAIAILAB-2024-01-JAI1,2024-01-22,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-01-PSYSACOMP
1127,SHANGHAIAILAB-2024-01-JAI2,2024-01-22,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-01-PSYSACOMP
1128,UKAISI-2024-01-GOV1,2024-01-01,UK AISI,UKAISI-2024-01
1129,UKAISI-2024-01-GOV3,2024-01-01,UK AISI,UKAISI-2024-01
1130,SHANGHAIAILAB-2023-11-ALI1,2023-11-10,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2023-11-FAKEALIGARE
1131,APOLLO-2023-11-ALI2,2023-11-09,Apollo Research,APOLLO-2023-11
1132,CAIS-2023-11-ALI1,2023-11-06,Center for AI Safety (CAIS),CAIS-2023-11
1133,SCALEAI-2023-09-GOV1,2023-10-05,Scale AI,SCALEAI-2023-10
1134,SCALEAI-2023-09-JAI1,2023-10-05,Scale AI,SCALEAI-2023-10
1135,SCALEAI-2023-10-GOV1,2023-10-05,Scale AI,SCALEAI-2023-10
1136,SCALEAI-2023-10-GOV2,2023-10-05,Scale AI,SCALEAI-2023-10
1137,METR-2023-07-GOV1,2023-07-31,METR,METR-2023-07
1138,METR-2023-07-GOV2,2023-07-31,METR,METR-2023-07
1139,CAIS-2023-07-GOV1,2023-07-27,Center for AI Safety (CAIS),CAIS-2023-07
1140,CAIS-2023-07-JAI4,2023-07-27,Center for AI Safety (CAIS),CAIS-2023-07
1141,CAIS-2023-04-ALI1,2023-04-06,Center for AI Safety (CAIS),CAIS-2023-04
1142,CAIS-2023-04-ALI5,2023-04-06,Center for AI Safety (CAIS),CAIS-2023-04
1143,SCALEAI-2023-01-GOV1,2023-01-29,Scale AI,SCALEAI-2023-01
1144,HOLISTIC-2023-01-GOV1,2023-01-23,Holistic AI,HOLISTIC-2023-01
1145,RAND-2022-10-BIO1,2022-10-17,RAND,RAND-2022-10
1146,RAND-2022-10-BIO2,2022-10-17,RAND,RAND-2022-10
1147,RAND-2022-10-BIO3,2022-10-17,RAND,RAND-2022-10
1148,RAND-2022-10-GOV1,2022-10-17,RAND,RAND-2022-10
1149,FARAI-2022-09-GOV1,2022-09-21,FAR.AI,FARAI-2022-09
1150,RANDEU-2022-04-BIO1,2022-04-25,RAND Europe,RANDEU-2022-04
1151,RANDEU-2022-04-BIO2,2022-04-25,RAND Europe,RANDEU-2022-04
1152,RANDEU-2022-04-BIO3,2022-04-25,RAND Europe,RANDEU-2022-04
1153,SCALEAI-2021-10-GOV1,2021-10-11,Scale AI,SCALEAI-2021-10
1154,RAND-2021-08-BIO1,2021-08-26,RAND,RAND-2021-08b
1155,RAND-2021-08-BIO2,2021-08-26,RAND,RAND-2021-08b
1156,RAND-2021-08-BIO3,2021-08-26,RAND,RAND-2021-08b
1157,RAND-2021-08-BIO4,2021-08-26,RAND,RAND-2021-08b
1158,RAND-2021-08-GOV1,2021-08-12,RAND,RAND-2021-08
1159,RAND-2021-07-CYB1,2021-07-15,RAND,RAND-2021-07
1160,RAND-2021-07-GOV1,2021-07-15,RAND,RAND-2021-07
1161,RAND-2019-07-SOC3,2019-07-11,RAND,RAND-2019-07
