category,finding_id,field,old_value,new_value,reason
evidence-restoration,UKAISI-2026-05-ALI2,Channel A Verbatim,,"The central challenge for alignment is to amplify the human supervisory signals on which alignment training depends, so that they remain reliable as AI systems produce ever more behaviour to monitor.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI2,Channel A Evidence,,"AISI research paper by Voudouris, Roberts-Gaal, Buhl, Irving, Summerfield cataloguing five human supervision bottlenecks",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI2,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI2,Channel B Evidence,,No AI company response identified,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-05-ALI2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The central challenge for alignment is to amplify the human supervisory signals on which alignment training depends, so that they remain reliable as AI systems produce ever more behaviour to monitor. | Channel A Evidence: AISI research paper by Voudouris, Roberts-Gaal, Buhl, Irving, Summerfield cataloguing five human supervision bottlenecks | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No AI company response identified  [ID FIX 2026-08-16] Report ID 'UKAISI-ALI-2026-05-30' -> 'UKAISI-2026-05-ALI30': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The central challenge for alignment is to amplify the human supervisory signals on which alignment training depends, so that they remain reliable as AI systems produce ever more behaviour to monitor. | Channel A Evidence: AISI research paper by Voudouris, Roberts-Gaal, Buhl, Irving, Summerfield cataloguing five human supervision bottlenecks | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No AI company response identified  [ID FIX 2026-08-16] Report ID 'UKAISI-ALI-2026-05-30' -> 'UKAISI-2026-05-ALI30': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-05b-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-05b-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28  [ID FIX 2026-08-16] Report ID 'UKAISI-2026-05B' -> 'UKAISI-2026-05b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-05B-ALI1' -> 'UKAISI-2026-05b-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28  [ID FIX 2026-08-16] Report ID 'UKAISI-2026-05B' -> 'UKAISI-2026-05b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-05B-ALI1' -> 'UKAISI-2026-05b-ALI1': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-05b-ALI2,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-05b-ALI2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28  [ID FIX 2026-08-16] Report ID 'UKAISI-2026-05B' -> 'UKAISI-2026-05b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-05B-ALI2' -> 'UKAISI-2026-05b-ALI2': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[SOURCE URL NORMALIZATION — 2026-08-16] Row-specific source preserved here: https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems. Active Source URL standardized to the full/canonical report source shared by Report ID.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28  [ID FIX 2026-08-16] Report ID 'UKAISI-2026-05B' -> 'UKAISI-2026-05b': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).  [ID FIX 2026-08-16] Finding ID 'UKAISI-2026-05B-ALI2' -> 'UKAISI-2026-05b-ALI2': malformed against §6 (PREFIX-YYYY-MM[m]-DDDn). Finding IDs are immutable by rule, so the previous value is recorded here for traceability.

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-05-ALI1,Channel A Verbatim,,"alignment research involves many hard-to-supervise fuzzy tasks (tasks without clear evaluation criteria, for which human judgement is systematically flawed); optimisation pressure means agent-generated mistakes are concentrated among those that human reviewers are least likely to catch",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI1,Channel A Evidence,,"AISI research paper by Bowkis, Buhl, Pfau, Irving arguing AI-automated alignment research produces systematically uncatchable errors",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-ALI1,Channel B Evidence,,No AI company response identified,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-05-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: alignment research involves many hard-to-supervise fuzzy tasks (tasks without clear evaluation criteria, for which human judgement is systematically flawed); optimisation pressure means agent-generated mistakes are concentrated among those that human reviewers are least likely to catch | Channel A Evidence: AISI research paper by Bowkis, Buhl, Pfau, Irving arguing AI-automated alignment research produces systematically uncatchable errors | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No AI company response identified  [ID FIX 2026-08-16] Report ID 'UKAISI-ALI-2026-05-14' -> 'UKAISI-2026-05-ALI14': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=No; accountable-developer=No; developer=not identified; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=High; human-review=Stratified sample; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: alignment research involves many hard-to-supervise fuzzy tasks (tasks without clear evaluation criteria, for which human judgement is systematically flawed); optimisation pressure means agent-generated mistakes are concentrated among those that human reviewers are least likely to catch | Channel A Evidence: AISI research paper by Bowkis, Buhl, Pfau, Irving arguing AI-automated alignment research produces systematically uncatchable errors | Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel B Evidence: No AI company response identified  [ID FIX 2026-08-16] Report ID 'UKAISI-ALI-2026-05-14' -> 'UKAISI-2026-05-ALI14': normalised to PREFIX-YYYY-MM[m][-slug] per §6 (month derived from this row's Publication Date; prefix and month-suffix case aligned with the rest of the corpus).

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,KAISI-2026-05-GOV1,Sources Checked (channel A),,Director Kim Myung-joo directly quoted attributing non-disclosure to protecting 'commercial partners' competitive positions'; corroborated by DDaily (2026-05-13) noting zero independent frontier-model findings published in 1.5 years of operation.,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,KAISI-2026-05-GOV1,Notes,"Access type pre-deployment — private fix cannot be excluded

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=Anthropic; Google; DeepSeek; Moonshot; Kakao; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Attribution: No explicit attribution | Action Level: None | Sources Checked (channel A): Director Kim Myung-joo directly quoted attributing non-disclosure to protecting 'commercial partners' competitive positions'; corroborated by DDaily (2026-05-13) noting zero independent frontier-model findings published in 1.5 years of operation. | Policy Level: No policy uptake identified | Media Outlets: ZDNet Korea (https://zdnet.co.kr/view/?no=20260520132102); ZDNet Korea follow-up (https://zdnet.co.kr/view/?no=20260619100049) | Proportionality: Accountability gap (no action)

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","Access type pre-deployment — private fix cannot be excluded

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=Anthropic; Google; DeepSeek; Moonshot; Kakao; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Attribution: No explicit attribution | Action Level: None | Sources Checked (channel A): Director Kim Myung-joo directly quoted attributing non-disclosure to protecting 'commercial partners' competitive positions'; corroborated by DDaily (2026-05-13) noting zero independent frontier-model findings published in 1.5 years of operation. | Policy Level: No policy uptake identified | Media Outlets: ZDNet Korea (https://zdnet.co.kr/view/?no=20260520132102); ZDNet Korea follow-up (https://zdnet.co.kr/view/?no=20260619100049) | Proportionality: Accountability gap (no action)

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-05-GOV1,Channel A Verbatim,,"The organizations in this new group are based in more than 15 countries, and most provide critical infrastructure to many more.",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2026-05-GOV1,Channel A Evidence,,https://www.anthropic.com/news/expanding-project-glasswing,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-05-GOV1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The organizations in this new group are based in more than 15 countries, and most provide critical infrastructure to many more. | Channel A Evidence: https://www.anthropic.com/news/expanding-project-glasswing | Channel C Verbatim: Our independent testing shows that cyber capabilities in leading AI systems are advancing much faster than we expected. That matters because this isn't theoretical -- those advances are already starting to translate into real risks. -- UK AI Minister Kanishka Narayan

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Channel A Verbatim: The organizations in this new group are based in more than 15 countries, and most provide critical infrastructure to many more. | Channel A Evidence: https://www.anthropic.com/news/expanding-project-glasswing | Channel C Verbatim: Our independent testing shows that cyber capabilities in leading AI systems are advancing much faster than we expected. That matters because this isn't theoretical -- those advances are already starting to translate into real risks. -- UK AI Minister Kanishka Narayan

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,USCAISI-2026-05-GOV4,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,USCAISI-2026-05-GOV4,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; DeepSeek; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: CAISI scores systematically lower than DeepSeek V4 Pro's self-reported benchmark numbers. -- CAISI Evaluation; DeepSeek's self-promotion remains unchallenged in public discourse

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→C; subject=governance/process; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; DeepSeek; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; governance/process is the subject. Rationale: Tier C because not an empirical model-behaviour finding; governance/process is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: CAISI scores systematically lower than DeepSeek V4 Pro's self-reported benchmark numbers. -- CAISI Evaluation; DeepSeek's self-promotion remains unchallenged in public discourse

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-04-ALI1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-04-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-04-ALI3,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-04-ALI3,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-04-ALI4,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-04-ALI4,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA CLEANUP 2026-08-16] Tier C Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→C; subject=evaluation method/tool; empirical=No; named-system=Yes; accountable-developer=Yes; developer=OpenAI; Anthropic; concerning=Not applicable; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=not an empirical model-behaviour finding; evaluation method/tool is the subject. Rationale: Tier C because not an empirical model-behaviour finding; evaluation method/tool is the subject. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier C reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Channel C Verbatim: Simply phrasing your request as a question rather than a statement reduces sycophancy by 24 percentage points.' -- AISI Ask Don't Tell

[SCHEMA RESTORATION 2026-08-16] Tier C Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-04-HUM1,Sources Checked (channel A),,Neg-lag sweep 2026-07-15: claimed company response invalid (GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to u). No company primary-source response attributable to this finding found as of 2026-07-15.,Restore Tier C evidence for archival/descriptive use; excluded from Tier-A headline analysis
