Original Finding ID,Final Finding ID,Change Type,Old Value,New Value,Reason / provenance,Source URL,Final active row
CIP-WEVAL-O4-MINI-SOC1,CIP-2025-08-WEVAL-O4-MINI-SOC1,REPORT ID,CIP-WEVAL-O4-MINI,CIP-2025-08-WEVAL-O4-MINI,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/o4-mini,106
CIP-WEVAL-O4-MINI-SOC1,CIP-2025-08-WEVAL-O4-MINI-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/o4-mini,106
CIP-WEVAL-QWEN3-30B-SOC1,CIP-2025-08-WEVAL-QWEN3-30B-SOC1,FINDING ID,CIP-WEVAL-QWEN3-30B-SOC1,CIP-2025-08-WEVAL-QWEN3-30B-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/qwen3-30b,107
CIP-WEVAL-QWEN3-30B-SOC1,CIP-2025-08-WEVAL-QWEN3-30B-SOC1,REPORT ID,CIP-WEVAL-QWEN3-30B,CIP-2025-08-WEVAL-QWEN3-30B,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/qwen3-30b,107
CIP-WEVAL-QWEN3-30B-SOC1,CIP-2025-08-WEVAL-QWEN3-30B-SOC1,PUBLICATION DATE,,2025-08-25,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/qwen3-30b,107
CIP-WEVAL-SONNET-SOC1,,REMOVE OVERLAP,Active corpus,Removed sheet,Removed overlapping generic family aggregate spanning Sonnet variants represented separately.,https://weval.org/cards/sonnet,
SCALEAI-2024-02-GOV1,SCALEAI-2023-10-GOV1,FINDING ID,SCALEAI-2024-02-GOV1,SCALEAI-2023-10-GOV1,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,108
SCALEAI-2024-02-GOV1,SCALEAI-2023-10-GOV1,REPORT ID,SCALEAI-2024-02,SCALEAI-2023-10,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,108
SCALEAI-2024-02-GOV1,SCALEAI-2023-10-GOV1,REPORT TITLE,Test and evaluation,A Holistic Approach For Test And Evaluation Of Large Language Models,Exact primary-source title applied.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,108
SCALEAI-2024-02-GOV1,SCALEAI-2023-10-GOV1,PUBLICATION DATE,2024-02,2023-10-05,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,108
SCALEAI-2024-02-GOV2,SCALEAI-2023-10-GOV2,FINDING ID,SCALEAI-2024-02-GOV2,SCALEAI-2023-10-GOV2,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,109
SCALEAI-2024-02-GOV2,SCALEAI-2023-10-GOV2,REPORT ID,SCALEAI-2024-02,SCALEAI-2023-10,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,109
SCALEAI-2024-02-GOV2,SCALEAI-2023-10-GOV2,REPORT TITLE,Test and evaluation,A Holistic Approach For Test And Evaluation Of Large Language Models,Exact primary-source title applied.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,109
SCALEAI-2024-02-GOV2,SCALEAI-2023-10-GOV2,PUBLICATION DATE,2024-02,2023-10-05,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6019a18f03a4ae003acb1113/test-and-evaluation.pdf,109
SCALEAI-2024-10-JAI1,SCALEAI-2024-10-JAI1,REPORT TITLE,ICLR  Red Teaming Browser Agents,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,110
SCALEAI-2024-10-JAI1,SCALEAI-2024-10-JAI1,PUBLICATION DATE,2024-10,2024-10-11,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,110
SCALEAI-2024-10-JAI2,SCALEAI-2024-10-JAI2,REPORT TITLE,ICLR  Red Teaming Browser Agents,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,111
SCALEAI-2024-10-JAI2,SCALEAI-2024-10-JAI2,PUBLICATION DATE,2024-10,2024-10-11,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,111
SCALEAI-2024-10-JAI3,SCALEAI-2024-10-JAI3,REPORT TITLE,ICLR  Red Teaming Browser Agents,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,112
SCALEAI-2024-10-JAI3,SCALEAI-2024-10-JAI3,PUBLICATION DATE,2024-10,2024-10-11,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,112
SCALEAI-2024-10-JAI4,SCALEAI-2024-10-JAI4,REPORT TITLE,ICLR  Red Teaming Browser Agents,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,113
SCALEAI-2024-10-JAI4,SCALEAI-2024-10-JAI4,PUBLICATION DATE,2024-10,2024-10-11,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/_ICLR__Red_Teaming_Browser_Agents%20(14).pdf,113
SCALEAI-2025-09e-AUT2,SCALEAI-2025-11c-AUT2,FINDING ID,SCALEAI-2025-09e-AUT2,SCALEAI-2025-11c-AUT2,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,114
SCALEAI-2025-09e-AUT2,SCALEAI-2025-11c-AUT2,REPORT ID,SCALEAI-2025-09e,SCALEAI-2025-11c,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,114
SCALEAI-2025-09e-AUT2,SCALEAI-2025-11c-AUT2,REPORT TITLE,DR Benchmark 0914 v1,ResearchRubrics: A Benchmark of Prompts and Rubrics For Evaluating Deep Research Agents,Exact primary-source title applied.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,114
SCALEAI-2025-09e-AUT2,SCALEAI-2025-11c-AUT2,PUBLICATION DATE,2025-09,2025-11-10,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,114
SCALEAI-2025-09e-GOV1,SCALEAI-2025-11c-GOV2,FINDING ID,SCALEAI-2025-09e-GOV1,SCALEAI-2025-11c-GOV2,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,115
SCALEAI-2025-09e-GOV1,SCALEAI-2025-11c-GOV2,REPORT ID,SCALEAI-2025-09e,SCALEAI-2025-11c,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,115
SCALEAI-2025-09e-GOV1,SCALEAI-2025-11c-GOV2,REPORT TITLE,DR Benchmark 0914 v1,ResearchRubrics: A Benchmark of Prompts and Rubrics For Evaluating Deep Research Agents,Exact primary-source title applied.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,115
SCALEAI-2025-09e-GOV1,SCALEAI-2025-11c-GOV2,PUBLICATION DATE,2025-09,2025-11-10,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,115
SCALEAI-2025-10-SOC1,SCALEAI-2025-10-SOC1,REPORT TITLE,Vtb paper,"Beyond Seeing: Evaluating Multimodal LLMs On Tool-enabled Image Perception, Transformation, and Reasoning",Exact primary-source title applied.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/vtb_paper.pdf,116
SCALEAI-2025-10-SOC1,SCALEAI-2025-10-SOC1,PUBLICATION DATE,2025-10,2025-10-15,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/vtb_paper.pdf,116
SCALEAI-2025-10-SOC2,SCALEAI-2025-10-SOC2,REPORT TITLE,Vtb paper,"Beyond Seeing: Evaluating Multimodal LLMs On Tool-enabled Image Perception, Transformation, and Reasoning",Exact primary-source title applied.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/vtb_paper.pdf,117
SCALEAI-2025-10-SOC2,SCALEAI-2025-10-SOC2,PUBLICATION DATE,2025-10,2025-10-15,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/vtb_paper.pdf,117
SCALEAI-2026-04-BIO1,SCALEAI-2026-06b-BIO1,FINDING ID,SCALEAI-2026-04-BIO1,SCALEAI-2026-06b-BIO1,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,118
SCALEAI-2026-04-BIO1,SCALEAI-2026-06b-BIO1,REPORT ID,SCALEAI-2026-04,SCALEAI-2026-06b,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,118
SCALEAI-2026-04-BIO1,SCALEAI-2026-06b-BIO1,REPORT TITLE,DrugDiscoveryBench,DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Drug Discovery?,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,118
SCALEAI-2026-04-BIO1,SCALEAI-2026-06b-BIO1,PUBLICATION DATE,2026-04,2026-06-30,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,118
SCALEAI-2026-04-BIO2,SCALEAI-2026-06b-BIO2,FINDING ID,SCALEAI-2026-04-BIO2,SCALEAI-2026-06b-BIO2,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,119
SCALEAI-2026-04-BIO2,SCALEAI-2026-06b-BIO2,REPORT ID,SCALEAI-2026-04,SCALEAI-2026-06b,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,119
SCALEAI-2026-04-BIO2,SCALEAI-2026-06b-BIO2,REPORT TITLE,DrugDiscoveryBench,DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Drug Discovery?,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,119
SCALEAI-2026-04-BIO2,SCALEAI-2026-06b-BIO2,PUBLICATION DATE,2026-04,2026-06-30,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/DrugDiscoveryBench.pdf,119
SCALEAI-2026-05ae-AUT1,SCALEAI-2026-05ae-AUT1,REPORT TITLE,Coding Agent Eval,SWE Atlas: Benchmarking Coding Agents Beyond Issue Resolution,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/Coding_Agent_Eval%20(5).pdf,120
SCALEAI-2026-05ae-AUT1,SCALEAI-2026-05ae-AUT1,PUBLICATION DATE,2026-05,2026-05-07,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/Coding_Agent_Eval%20(5).pdf,120
SCALEAI-2026-05ae-AUT2,SCALEAI-2026-05ae-AUT2,REPORT TITLE,Coding Agent Eval,SWE Atlas: Benchmarking Coding Agents Beyond Issue Resolution,Exact primary-source title applied.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/Coding_Agent_Eval%20(5).pdf,121
SCALEAI-2026-05ae-AUT2,SCALEAI-2026-05ae-AUT2,PUBLICATION DATE,2026-05,2026-05-07,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/6691558a94899f2f65a87a75/Coding_Agent_Eval%20(5).pdf,121
SCALEAI-2026-05af-AUT1,SCALEAI-2026-04-AUT1,FINDING ID,SCALEAI-2026-05af-AUT1,SCALEAI-2026-04-AUT1,ID regenerated from the verified report date/identity.,https://static.scale.com/uploads/67a153343e046988406ef320/HiL_Bench.pdf,122
SCALEAI-2026-05af-AUT1,SCALEAI-2026-04-AUT1,REPORT ID,SCALEAI-2026-05af,SCALEAI-2026-04,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://static.scale.com/uploads/67a153343e046988406ef320/HiL_Bench.pdf,122
SCALEAI-2026-05af-AUT1,SCALEAI-2026-04-AUT1,REPORT TITLE,HiL Bench,HiL-BENCH (Human-in-Loop Benchmark),Exact primary-source title applied.,https://static.scale.com/uploads/67a153343e046988406ef320/HiL_Bench.pdf,122
SCALEAI-2026-05af-AUT1,SCALEAI-2026-04-AUT1,PUBLICATION DATE,2026-05,2026-04-13,Source-visible date applied. Weval rows use the card page Updated date.,https://static.scale.com/uploads/67a153343e046988406ef320/HiL_Bench.pdf,122
TSINGHUACOAI-2021-05-GOV1,TSINGHUACOAI-2021-05-GOV1,PUBLICATION DATE,2021,2021-05-19,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/abs/2105.08920,123
TSINGHUACOAI-2022-01-SOC1,TSINGHUACOAI-2022-01-SOC1,PUBLICATION DATE,2022,2022-01-16,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/abs/2201.06025,124
ANTHROPIC-2026-XX-OPUS5-CYB1,ANTHROPIC-2026-07-OPUS5-CYB1,FINDING ID,ANTHROPIC-2026-XX-OPUS5-CYB1,ANTHROPIC-2026-07-OPUS5-CYB1,ID regenerated from the verified report date/identity.,https://www.anthropic.com/claude-opus-5-system-card,125
ANTHROPIC-2026-XX-OPUS5-CYB1,ANTHROPIC-2026-07-OPUS5-CYB1,REPORT ID,ANTHROPIC-2026-XX-OPUS5,ANTHROPIC-2026-07-OPUS5,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://www.anthropic.com/claude-opus-5-system-card,125
ANTHROPIC-2026-XX-OPUS5-CYB1,ANTHROPIC-2026-07-OPUS5-CYB1,PUBLICATION DATE,2026,2026-07-24,Source-visible date applied. Weval rows use the card page Updated date.,https://www.anthropic.com/claude-opus-5-system-card,125
ANTHROPIC-2026-XX-OPUS5-CYB2,ANTHROPIC-2026-07-OPUS5-CYB2,FINDING ID,ANTHROPIC-2026-XX-OPUS5-CYB2,ANTHROPIC-2026-07-OPUS5-CYB2,ID regenerated from the verified report date/identity.,https://www.anthropic.com/claude-opus-5-system-card,126
ANTHROPIC-2026-XX-OPUS5-CYB2,ANTHROPIC-2026-07-OPUS5-CYB2,REPORT ID,ANTHROPIC-2026-XX-OPUS5,ANTHROPIC-2026-07-OPUS5,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://www.anthropic.com/claude-opus-5-system-card,126
ANTHROPIC-2026-XX-OPUS5-CYB2,ANTHROPIC-2026-07-OPUS5-CYB2,PUBLICATION DATE,2026,2026-07-24,Source-visible date applied. Weval rows use the card page Updated date.,https://www.anthropic.com/claude-opus-5-system-card,126
ANTHROPIC-2026-XX-OPUS5-CYB3,ANTHROPIC-2026-07-OPUS5-CYB3,FINDING ID,ANTHROPIC-2026-XX-OPUS5-CYB3,ANTHROPIC-2026-07-OPUS5-CYB3,ID regenerated from the verified report date/identity.,https://www.anthropic.com/claude-opus-5-system-card,127
ANTHROPIC-2026-XX-OPUS5-CYB3,ANTHROPIC-2026-07-OPUS5-CYB3,REPORT ID,ANTHROPIC-2026-XX-OPUS5,ANTHROPIC-2026-07-OPUS5,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://www.anthropic.com/claude-opus-5-system-card,127
ANTHROPIC-2026-XX-OPUS5-CYB3,ANTHROPIC-2026-07-OPUS5-CYB3,PUBLICATION DATE,2026,2026-07-24,Source-visible date applied. Weval rows use the card page Updated date.,https://www.anthropic.com/claude-opus-5-system-card,127
JOINT-2026-XX-AM-ALI1,JOINT-2026-07-AM-ALI1,FINDING ID,JOINT-2026-XX-AM-ALI1,JOINT-2026-07-AM-ALI1,ID regenerated from the verified report date/identity.,https://alignment.anthropic.com/2026/agentic-misalignment-summer-2026,128
JOINT-2026-XX-AM-ALI1,JOINT-2026-07-AM-ALI1,REPORT ID,JOINT-2026-XX-AM,JOINT-2026-07-AM,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://alignment.anthropic.com/2026/agentic-misalignment-summer-2026,128
JOINT-2026-XX-AM-ALI1,JOINT-2026-07-AM-ALI1,PUBLICATION DATE,2026,2026-07-13,Source-visible date applied. Weval rows use the card page Updated date.,https://alignment.anthropic.com/2026/agentic-misalignment-summer-2026,128
USCAISI-2026-01-GOV1,USCAISI-2026-01-GOV1,PUBLICATION DATE,2026,2026-01-30,Source-visible date applied. Weval rows use the card page Updated date.,https://www.nist.gov/aisi/guidelines,129
OPENAI-2026-03-SELF-CYB1,OPENAI-2026-03-SELF-CYB1,SOURCE URL,https://deploymentsafety.openai.com/gpt-5-4-thinking,https://deploymentsafety.openai.com/gpt-5-4-thinking/gpt-5-4-thinking.pdf,More precise or repaired primary-source URL applied.,https://deploymentsafety.openai.com/gpt-5-4-thinking/gpt-5-4-thinking.pdf,133
OPENAI-2026-04-SELF-CYB1,OPENAI-2026-04-SELF-CYB1,SOURCE URL,https://deploymentsafety.openai.com/gpt-5-5,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,More precise or repaired primary-source URL applied.,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,134
OPENAI-2026-06-SELF-CYB1,OPENAI-2026-06-SELF-CYB1,SOURCE URL,https://deploymentsafety.openai.com/gpt-5-6-preview/,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,More precise or repaired primary-source URL applied.,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,136
CAIS-2023-07-GOV1,CAIS-2023-07-GOV1,PUBLICATION DATE,2023-07,2023-07-27,Source-visible date applied. Weval rows use the card page Updated date.,https://llm-attacks.org/,179
CAIS-2023-07-JAI4,CAIS-2023-07-JAI4,PUBLICATION DATE,2023-07,2023-07-27,Source-visible date applied. Weval rows use the card page Updated date.,https://llm-attacks.org/,180
ANTHROPIC-2026-05-SELF-GOV1,ANTHROPIC-2026-05-SELF-GOV1,PUBLICATION DATE,2026-05,2026-05-19,Source-visible date applied. Weval rows use the card page Updated date.,https://alignment.anthropic.com/2026/sleight-bench,391
SECUREBIO-2026-06b-BIO1,SECUREBIO-2026-06b-BIO1,SOURCE URL,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,More precise or repaired primary-source URL applied.,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,518
SECUREBIO-2026-06b-BIO4,SECUREBIO-2026-06b-BIO4,SOURCE URL,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,More precise or repaired primary-source URL applied.,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,519
UKAISI-2026-08a-GOV1,UKAISI-2026-08a-GOV1,SCOPE INCLUSION,Recommended cutoff exclusion,Retained in active corpus,Explicit author instruction on 2026-08-15.,https://www.aisi.gov.uk/research/existing-large-language-model-unlearning-evaluations-are-inconclusive,558
UKAISI-2026-08b-ALI1,UKAISI-2026-08b-ALI1,SCOPE INCLUSION,Recommended cutoff exclusion,Retained in active corpus,Explicit author instruction on 2026-08-15.,https://www.aisi.gov.uk/research/inoculation-prompting-eliciting-traits-from-llms-during-training-can-suppress-them-at-test-time,559
UKAISI-2026-08c-ALI1,UKAISI-2026-08c-ALI1,SCOPE INCLUSION,Recommended cutoff exclusion,Retained in active corpus,Explicit author instruction on 2026-08-15.,https://www.aisi.gov.uk/research/a-decision-theoretic-formalisation-of-steganography-with-applications-to-llm-monitoring,560
