type,sheet_row,finding_id,column,old,new,reason
DECISION,6,UKAISI-2025-11-ALI5,Action Trackable?,yes,no,"Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments. Over-refusal is a descriptive side-note, caution not danger (C2); no specific company response expected."
DECISION,6,UKAISI-2025-11-ALI5,Traceability Tag,traceable,methodology-null,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,6,UKAISI-2025-11-ALI5,Notes,Pre-release access -- private fix cannot be excluded. Over-refusal flagged as possible evaluation confound.  [Report tested: Claude Opus 4.1] [SOURCE NOTE 2026-07-15: Key Quote verified verbatim in th,Pre-release access -- private fix cannot be excluded. Over-refusal flagged as possible evaluation confound.  [Report tested: Claude Opus 4.1] [SOURCE NOTE 2026-07-15: Key Quote verified verbatim in th,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,7,UKAISI-2025-11-ALI6,Eval? (trackable),yes,no,"Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments. Eval-awareness finding is about the validity of evaluations (the paper's tooling contribution), not a model danger => governance-signal."
DECISION,7,UKAISI-2025-11-ALI6,Action Trackable?,yes,,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments. Governance rows have Action Trackable blank.
DECISION,7,UKAISI-2025-11-ALI6,Traceability Tag,traceable,methodology,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,7,UKAISI-2025-11-ALI6,Notes,Pre-release access -- private fix cannot be excluded. Evaluation-awareness has significant implications for the validity of all safety evaluations.  [CLUBBED 2: UKAISI-2025-11-ALI6 + NEW-024] [SOURCE ,Pre-release access -- private fix cannot be excluded. Evaluation-awareness has significant implications for the validity of all safety evaluations.  [CLUBBED 2: UKAISI-2025-11-ALI6 + NEW-024] [SOURCE ,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,42,NEW-116,Action Trackable?,yes,no,"Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments. The training-data change is methodology co-development on eval realism, not a response to a danger finding; underlying eval-awareness issue is not trackable."
DECISION,42,NEW-116,Traceability Tag,traceable,methodology,Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,42,NEW-116,Notes,"NEW-CANDIDATE [ATTRIBUTION 2026-07-15: Explicit->Topical+Temporal. Card cites ""the UK AISI's independent report"" only as observer of the decrease; mitigation predates the finding by 2 days = Anthropic","NEW-CANDIDATE [ATTRIBUTION 2026-07-15: Explicit->Topical+Temporal. Card cites ""the UK AISI's independent report"" only as observer of the decrease; mitigation predates the finding by 2 days = Anthropic",Parent report (UKAISI-2025-11b 'Investigating Models for Misalignment') is a methodology paper with a NULL headline result ('no instances of misaligned research sabotage'). Per codebook (methodology/reassuring-null => not trackable) and Stephen's J94/K41 comments.
DECISION,27,UKAISI-2025-11b-ALI1,Action Trackable?,yes,no,"Reassuring-null result ('found no confirmed instances of research sabotage') from a methodology paper. Per codebook (reassuring-null => not trackable) and Stephen's J94 ('very positive finding, no response needed'). Keeping it trackable would falsely read as an accountability gap."
DECISION,27,UKAISI-2025-11b-ALI1,Traceability Tag,traceable,methodology-null,"Reassuring-null result ('found no confirmed instances of research sabotage') from a methodology paper. Per codebook (reassuring-null => not trackable) and Stephen's J94 ('very positive finding, no response needed'). Keeping it trackable would falsely read as an accountability gap."
DECISION,27,UKAISI-2025-11b-ALI1,Notes,Medium+None -> Disproportionate. Confidence Low because specific empirical scheming rates are not disclosed in the summary.,Medium+None -> Disproportionate. Confidence Low because specific empirical scheming rates are not disclosed in the summary. [RECLASSIFIED 2026-07-15: Action Trackable yes->no; reassuring-null sabotage,"Reassuring-null result ('found no confirmed instances of research sabotage') from a methodology paper. Per codebook (reassuring-null => not trackable) and Stephen's J94 ('very positive finding, no response needed'). Keeping it trackable would falsely read as an accountability gap."
DECISION,8,UKAISI-2025-12-ALI13,Action Trackable?,yes,no,"Methodology stress-test with a REASSURING result ('removing explicit mentions did not defeat monitoring'); models used as red-team/monitor TOOLS, not evaluated for their own flaws. Not a specific concerning finding on a named model warranting a response."
DECISION,8,UKAISI-2025-12-ALI13,Traceability Tag,traceable,methodology-null,"Methodology stress-test with a REASSURING result ('removing explicit mentions did not defeat monitoring'); models used as red-team/monitor TOOLS, not evaluated for their own flaws. Not a specific concerning finding on a named model warranting a response."
DECISION,8,UKAISI-2025-12-ALI13,Notes,High severity (deliberate deception/hiding) but Action=None; Policy=In guidance (Partial map); override: one channel Partial + other None = Mixed; outcome type 5 -- no action documented,High severity (deliberate deception/hiding) but Action=None; Policy=In guidance (Partial map); override: one channel Partial + other None = Mixed; outcome type 5 -- no action documented [RECLASSIFIED ,"Methodology stress-test with a REASSURING result ('removing explicit mentions did not defeat monitoring'); models used as red-team/monitor TOOLS, not evaluated for their own flaws. Not a specific concerning finding on a named model warranting a response."
DECISION,8,UKAISI-2025-12-ALI13,Eval? (trackable),yes,no,"Source-confirmed (aisi.gov.uk blog): this is a MONITORING-METHODOLOGY research study, not an empirical finding about a model. Models are instruments (Opus 4.1 = red-team agent, Sonnet 3.7 = monitor), headline is monitoring effectiveness, no company action requested. => governance-signal (methodology)."
DECISION,8,UKAISI-2025-12-ALI13,Action Trackable?,no,,"Source-confirmed (aisi.gov.uk blog): this is a MONITORING-METHODOLOGY research study, not an empirical finding about a model. Models are instruments (Opus 4.1 = red-team agent, Sonnet 3.7 = monitor), headline is monitoring effectiveness, no company action requested. => governance-signal (methodology). Governance rows have Action Trackable blank."
DECISION,8,UKAISI-2025-12-ALI13,Notes,High severity (deliberate deception/hiding) but Action=None; Policy=In guidance (Partial map); override: one channel Partial + other None = Mixed; outcome type 5 -- no action documented [RECLASSIFIED ,High severity (deliberate deception/hiding) but Action=None; Policy=In guidance (Partial map); override: one channel Partial + other None = Mixed; outcome type 5 -- no action documented [RECLASSIFIED ,"Source-confirmed (aisi.gov.uk blog): this is a MONITORING-METHODOLOGY research study, not an empirical finding about a model. Models are instruments (Opus 4.1 = red-team agent, Sonnet 3.7 = monitor), headline is monitoring effectiveness, no company action requested. => governance-signal (methodology)."
VERIFIED-FIX,22,JOINT-2026-02-CYB1,Finding Type,capability-finding,governance,"Finding Type finalized by classification agent: precautionary High-capability classification, explicitly not a confirmed threshold breach; policy mi"
VERIFIED-FIX,40,NEW-151,Finding Type,capability-finding;company-self-report,governance;company-self-report,Finding Type finalized by classification agent: company self-reported High-capability biology classification and safeguard deployment; policy classi
VERIFIED-FIX,69,UKAISI-2024-05a-JAI1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: jailbreak compliance result but five frontier models are anonymised (Red/Purple/etc)
VERIFIED-FIX,70,UKAISI-2024-05a-BIO1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: bio/chem uplift result on anonymised five frontier models
VERIFIED-FIX,71,UKAISI-2024-05a-ALI1,Finding Type,capability-finding,capability-finding;anonymised-model;reassuring-null,Finding Type finalized by classification agent: anonymised models; limited autonomy (0% long-horizon) is a null result
VERIFIED-FIX,72,UKAISI-2024-10-JAI4,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: AgentHarm benchmark; finding is about attack-template effectiveness/attack surface, models are instr"
VERIFIED-FIX,73,UKAISI-2025-04-ALI2,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: RepliBench proficiency result but seven frontier models anonymised
VERIFIED-FIX,74,UKAISI-2025-04-ALI3,Finding Type,capability-finding,capability-finding;anonymised-model;reassuring-null,Finding Type finalized by classification agent: anonymised models; KYC failure is a limiting/null result (bottleneck to replication)
VERIFIED-FIX,75,UKAISI-2025-04-ALI5,Finding Type,capability-finding,capability-trend,"Finding Type finalized by classification agent: trajectory statement: no plateau, accelerating replication-capability growth across models"
VERIFIED-FIX,76,UKAISI-2025-09-SOC1,Finding Type,capability-finding,capability-finding;anonymised-model;reassuring-null,Finding Type finalized by classification agent: anonymised models; RCT found no misinformation harm (AI not yet a major vector)
VERIFIED-FIX,77,UKAISI-2025-10-ALI1,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: transcript-analysis method; finding illustrates a failure mode invisible to pass-rate metrics
VERIFIED-FIX,78,UKAISI-2025-10-ALI2,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: transcript-analysis method demonstrating hidden policy-violation failure mode, anonymised agents"
VERIFIED-FIX,79,UKAISI-2025-10-ALI3,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: transcript-analysis method surfacing task-resignation invisible to binary metrics
VERIFIED-FIX,80,UKAISI-2025-11-ALI1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: agents demonstrated deliberate-sabotage capabilities; frontier agents anonymised
VERIFIED-FIX,81,UKAISI-2025-12-SOC2,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: persuasiveness controllability result across 19 anonymised LLMs
VERIFIED-FIX,82,UKAISI-2025-12-SOC3,Finding Type,capability-finding,capability-trend,Finding Type finalized by classification agent: systematic inverse relationship (persuasiveness vs accuracy) across 19 models = cross-model trend
VERIFIED-FIX,83,UKAISI-2025-12-ALI2,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: auditing-games study; finding is that training/mitigation methods fail to prevent sandbagging
VERIFIED-FIX,84,UKAISI-2025-12-ALI3,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: finding is about sandbagging-detection methods (probes, black-box) failing"
VERIFIED-FIX,85,UKAISI-2025-12-ALI12,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: monitoring stress-test; Claude models are red-team/monitor instruments, finding is about monitor eff"
VERIFIED-FIX,86,UKAISI-2025-12-GOV1,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: finding is about monitoring architecture (sync vs async), models are instruments"
VERIFIED-FIX,88,UKAISI-2025-12-BIO1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: static capability-level claim (surpassed PhD by 60%) across 30+ anonymised systems
VERIFIED-FIX,89,UKAISI-2025-12-JAI2,Finding Type,capability-finding,capability-trend,Finding Type finalized by classification agent: temporal trajectory: bypass effort rose 40-fold over six months
VERIFIED-FIX,90,UKAISI-2025-12-GOV5,Finding Type,capability-finding,capability-trend,Finding Type finalized by classification agent: cross-model correlation: little link between capability and safeguard strength across all systems
VERIFIED-FIX,91,UKAISI-2026-02-CYB1,Finding Type,capability-finding,capability-finding;anonymised-model;reassuring-null,Finding Type finalized by classification agent: 14 anonymised LLMs; mostly low actionability/only 5-7% harmful = predominantly null result
VERIFIED-FIX,92,UKAISI-2026-02-CYB2,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: harm-uplift comparison (open-weight guardrails-removed vs closed) across anonymised models
VERIFIED-FIX,93,UKAISI-2026-03b-CYB1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: frontier agents achieved container breakout; models anonymised
VERIFIED-FIX,95,UKAISI-2026-04-ALI11,Finding Type,capability-finding;anonymised-model,capability-trend,Finding Type finalized by classification agent: cross-model correlation: capability positively correlated with contextual risk sensitivity
VERIFIED-FIX,97,UKAISI-2026-04-ALI1,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: sycophancy-reduction study; finding is about prompt-framing mechanism, models are test subjects"
VERIFIED-FIX,98,UKAISI-2026-04-ALI3,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: compares reduction techniques (reframing vs instructions) — method finding
VERIFIED-FIX,99,UKAISI-2026-04-ALI4,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: domain calibration finding within the sycophancy-method study, models are instruments"
VERIFIED-FIX,100,UKAISI-2026-06-ALI1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: disclosure/suppressibility reported as ranges across 17 mostly-unnamed text models
VERIFIED-FIX,101,UKAISI-2026-06-ALI2,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: speech disclosure rates as ranges across mostly-unnamed models
VERIFIED-FIX,102,USCAISI-2025-09-CYB1,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: named DeepSeek lags US frontier = reassuring (lower cyber uplift), not trackable action"
VERIFIED-FIX,103,USCAISI-2026-04-CYB3,Finding Type,capability-finding,capability-finding;reassuring-null,Finding Type finalized by classification agent: named DeepSeek V4 Pro below frontier on cyber = reassuring gap
VERIFIED-FIX,104,JOINT-2024-11-BIO1,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: named Claude 3.5 Sonnet below expert baseline, no meaningful bio/chem uplift"
VERIFIED-FIX,105,JOINT-2024-11-CYB1,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: named Claude 3.5 Sonnet marginal/inconsistent cyber scores, no concerning uplift"
VERIFIED-FIX,106,JOINT-2024-12-BIO1,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: named o1 comparable to reference, no alarming bio uplift"
VERIFIED-FIX,107,UKAISI-2025-11-BIO1,Finding Type,capability-finding,capability-finding;company-self-report;reassuring-null,Finding Type finalized by classification agent: Google FSF report on own Gemini 3 Pro; no CBRN uplift/no CCL reached (self-report + null)
VERIFIED-FIX,110,SGAISI-2025-02-JAI1,Finding Type,capability-finding,capability-finding;non-frontier,"Finding Type finalized by classification agent: safeguard-gap exploits aggregate across mix incl non-frontier models (Aya-8B, SEA-LION-9B)"
VERIFIED-FIX,111,AISI-JP-2025-10-SOC1,Finding Type,capability-finding,governance,Finding Type finalized by classification agent: non-empirical threat-landscape analysis; no models evaluated
VERIFIED-FIX,112,UKAISI-2026-04-ALI1b,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: eval-integrity study of what agents can learn about eval environments; OpenClaw is instrument
VERIFIED-FIX,113,SGAISI-2026-06-ALI1,Finding Type,capability-finding;reassuring-null,capability-finding;anonymised-model,"Finding Type finalized by classification agent: agents leaked sensitive data (a PROBLEM, not null) across anonymised Models A-C; removed wrong reass"
VERIFIED-FIX,114,UKAISI-2025-07-ALI1,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: sandbagging-detection method progress report; Llama models are test instruments
VERIFIED-FIX,115,UKAISI-2025-07-JAI1,Finding Type,capability-finding;anonymised-model,methodology,Finding Type finalized by classification agent: STACK is an attack method against safeguard pipelines; models are targets/instruments
VERIFIED-FIX,116,UKAISI-2025-08-JAI11,Finding Type,capability-finding;anonymised-model,methodology,Finding Type finalized by classification agent: data-filtering defence technique; finding is about the method's tamper-resistance
VERIFIED-FIX,118,UKAISI-2025-07-CYB1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: agent safety pass-rate results across anonymised Models A-F
VERIFIED-FIX,119,SGAISI-2025-07-JAI1,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: cross-language eval methodology incl LLM-as-judge reliability; two anonymised open-weight instrument
VERIFIED-FIX,120,SGAISI-2026-01-AUT1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: agents leaked data across anonymised Models A-D (problem result)
VERIFIED-FIX,121,UKAISI-2025-07-AUT1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: nearly all 22 unnamed frontier agents breached by prompt-injection at scale
VERIFIED-FIX,122,UKAISI-2025-10-ALI1b,Finding Type,capability-finding,capability-finding;non-frontier,"Finding Type finalized by classification agent: empirical backdoor-susceptibility result, but subject models are 600M-13B research-trained (non-fron"
VERIFIED-FIX,123,UKAISI-2025-10-AUT1,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: introduces b3 benchmark; the 31 backbone LLMs are instruments, not the subject"
VERIFIED-FIX,124,UKAISI-2026-06-ALI1b,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: develops/tests lie-detector methods; models and model-organisms are instruments
VERIFIED-FIX,125,UKAISI-2025-09-AUT1,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: controlled study of two-hop latent reasoning; GPT-4o/Llama used as instruments to study a phenomenon
VERIFIED-FIX,126,UKAISI-2026-02-SOC1,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: empirical productivity-uplift result but the 2025 LLM used is not named
VERIFIED-FIX,127,NEW-001,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: cyber CTF result on 5 anonymised frontier models (Red/Purple/etc)
VERIFIED-FIX,128,NEW-053,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: agent-behaviour finding with no model named
VERIFIED-FIX,129,NEW-061,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: agent capability finding with unnamed model
VERIFIED-FIX,130,NEW-065,Finding Type,capability-finding;anonymised-model,capability-trend;anonymised-model,Finding Type finalized by classification agent: cross-model correlation (capability vs unsanctioned behaviour) across 23 anonymised models
VERIFIED-FIX,131,NEW-089,Finding Type,capability-finding,capability-finding;too-recent,Finding Type finalized by classification agent: named-model result but DeepSeek V4 Pro / GPT-5.5 too recent for response to be observed
VERIFIED-FIX,133,NEW-145,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: develops sabotage evaluations; LM monitors are the tested instrument
VERIFIED-FIX,135,NEW-173,Finding Type,capability-finding,capability-finding;company-self-report,Finding Type finalized by classification agent: high-agency behaviour surfaced via Anthropic's own system card (early snapshot)
VERIFIED-FIX,136,NEW-177,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: agent behaviour finding, no model named"
VERIFIED-FIX,137,NEW-006,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: dual-use knowledge finding on anonymised frontier cohort
VERIFIED-FIX,139,NEW-026,Finding Type,capability-finding,capability-finding;reassuring-null;anonymised-model,"Finding Type finalized by classification agent: microtargeting effect found negligible (null), model not named"
VERIFIED-FIX,140,NEW-042,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: develops BPJ attack; classifiers are the test subjects/instruments
VERIFIED-FIX,141,NEW-062,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: agent situational-awareness finding, unnamed model"
VERIFIED-FIX,142,NEW-078,Finding Type,capability-finding,capability-trend,"Finding Type finalized by classification agent: cross-provider disclosure pattern (Google vs Claude/GPT), not a single-model result"
VERIFIED-FIX,144,NEW-154,Finding Type,capability-finding,capability-finding;company-self-report,Finding Type finalized by classification agent: anecdotal red-team observation from OpenAI's own GPT-5.3-Codex system card
VERIFIED-FIX,145,NEW-174,Finding Type,capability-finding,capability-finding;company-self-report,Finding Type finalized by classification agent: self-exfiltration behaviour via Anthropic system card (early snapshot)
VERIFIED-FIX,146,NEW-003,Finding Type,capability-finding,capability-finding;anonymised-model;reassuring-null,Finding Type finalized by classification agent: no degradation on benign questions (null); anonymised frontier cohort
VERIFIED-FIX,147,NEW-027,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: persuasion-strategy result, model not named"
VERIFIED-FIX,148,NEW-079,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: disclosure behaviour finding, no model named"
VERIFIED-FIX,151,NEW-095,Finding Type,capability-finding,capability-finding;reassuring-null,Finding Type finalized by classification agent: o1 performed LOWER than reference (no uplift) - reassuring null
VERIFIED-FIX,152,NEW-107,Finding Type,capability-finding,capability-finding;company-self-report;reassuring-null,Finding Type finalized by classification agent: CCLs not reached (null) reported in Google's own Frontier Safety Framework report
VERIFIED-FIX,153,NEW-111,Finding Type,capability-finding;anonymised-model,methodology,Finding Type finalized by classification agent: develops STACK safeguard-pipeline attacks + a defensive classifier; models are instruments
VERIFIED-FIX,154,NEW-115,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: develops pretraining-data-filtering method; finding is a limitation of the method
VERIFIED-FIX,155,NEW-135,Finding Type,capability-finding,methodology,"Finding Type finalized by classification agent: lie-detector evaluation; model organisms are instruments, notes methodological artifacts"
VERIFIED-FIX,156,NEW-155,Finding Type,capability-finding,capability-finding;company-self-report,Finding Type finalized by classification agent: OpenAI's own cyber-safeguard stack results from GPT-5.3-Codex system card
VERIFIED-FIX,157,NEW-159,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: attack-transfer asymmetry from red-team competition, models not named"
VERIFIED-FIX,158,NEW-171,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: multilingual safety-degradation finding, models not named"
VERIFIED-FIX,159,NEW-175,Finding Type,capability-finding,capability-finding;company-self-report,"Finding Type finalized by classification agent: explicitly Anthropic's own experiments (self-preservation preference), system card"
VERIFIED-FIX,160,NEW-032,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: monitoring stress-test; Claude models used as red-team/monitor instruments
VERIFIED-FIX,161,NEW-048,Finding Type,capability-finding,capability-finding;anonymised-model,Finding Type finalized by classification agent: inference-scaling result on anonymised frontier models
VERIFIED-FIX,162,NEW-052,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: Opus 4.6 averaged only 1.4/7 steps - low capability, reassuring null"
VERIFIED-FIX,163,NEW-056,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: container-breakout finding, model not named"
VERIFIED-FIX,164,NEW-060,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: environment fingerprinting finding, unnamed model"
VERIFIED-FIX,165,NEW-068,Finding Type,capability-finding,capability-finding;reassuring-null;too-recent,Finding Type finalized by classification agent: near-zero refusal to help safety tasks (reassuring); Mythos Preview/Opus 4.7 too recent
VERIFIED-FIX,166,NEW-088,Finding Type,capability-finding,capability-finding;reassuring-null,Finding Type finalized by classification agent: only modest improvement over prior model - low-capability/reassuring result
VERIFIED-FIX,167,NEW-096,Finding Type,capability-finding,capability-finding;reassuring-null,"Finding Type finalized by classification agent: o1 at or below reference on R&D/SWE/reasoning - no uplift, reassuring null"
VERIFIED-FIX,168,NEW-108,Finding Type,capability-finding,methodology,Finding Type finalized by classification agent: develops model-tampering as an evaluation method; finding is unlearning fragility
VERIFIED-FIX,169,NEW-152,Finding Type,capability-finding,capability-finding;company-self-report;reassuring-null,"Finding Type finalized by classification agent: does NOT reach High on self-improvement (null), from OpenAI's own system card"
VERIFIED-FIX,170,NEW-164,Finding Type,capability-finding,capability-finding;too-recent,Finding Type finalized by classification agent: pre-release assessment of GPT-5.5 - too recent for response to be observed
VERIFIED-FIX,171,NEW-168,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: bias-elicitation finding, models not named"
VERIFIED-FIX,172,NEW-172,Finding Type,capability-finding,capability-finding;company-self-report,Finding Type finalized by classification agent: hidden-notes behaviour surfaced via Anthropic system card (early snapshot)
VERIFIED-FIX,173,NEW-176,Finding Type,capability-finding,capability-finding;anonymised-model,"Finding Type finalized by classification agent: capability-safety divergence finding, models not named"
VERIFIED-FIX,178,UKAISI-2024-12-GOV3,Finding Type,governance,methodology,Finding Type finalized by classification agent: empirical eval-methodology finding (Q&A underestimates biouplift); o1-preview/Claude 3.5 as instrume
VERIFIED-FIX,180,UKAISI-2025-08-JAI2,Finding Type,governance,capability-finding,"Finding Type finalized by classification agent: empirical safeguard-fragility result on named open-weight models; FLAG: from governance report, open"
VERIFIED-FIX,181,UKAISI-2025-09-GOV1,Finding Type,anonymised-model;governance,governance,Finding Type finalized by classification agent: policy observation on voluntary collaboration; anonymised-model modifier dropped (not a capability r
VERIFIED-FIX,182,UKAISI-2025-10-GOV1,Finding Type,governance,methodology,Finding Type finalized by classification agent: develops transcript-level analysis as an evaluation method; models are instruments
VERIFIED-FIX,185,UKAISI-2026-03a-GOV2,Finding Type,governance,capability-trend;anonymised-model,Finding Type finalized by classification agent: log-linear inference-scaling trajectory across anonymised frontier models
VERIFIED-FIX,186,UKAISI-2026-03a-GOV3,Finding Type,governance,methodology,Finding Type finalized by classification agent: critique of fixed-budget evaluation method underestimating capability
VERIFIED-FIX,187,UKAISI-2026-04-ALI15,Finding Type,governance,methodology,"Finding Type finalized by classification agent: probes evaluation-environment integrity; agent is instrument, not safety subject"
VERIFIED-FIX,188,UKAISI-2026-04-ALI16,Finding Type,governance,methodology,Finding Type finalized by classification agent: cat-and-mouse sandbox-security finding about the eval method
VERIFIED-FIX,189,UKAISI-2026-04-ALI17,Finding Type,governance,methodology,Finding Type finalized by classification agent: eval-awareness undermines validity of evaluation methods
VERIFIED-FIX,190,UKAISI-2026-04-ALI9,Finding Type,anonymised-model;governance,capability-trend;anonymised-model,Finding Type finalized by classification agent: aggregate cross-model behavioural result over 600k evals of 23 anonymised models
VERIFIED-FIX,191,UKAISI-2026-05-CYB1,Finding Type,governance,capability-trend,Finding Type finalized by classification agent: 4.7-month doubling rate is a capability trajectory over time
VERIFIED-FIX,197,USCAISI-2025-11-GOV3,Finding Type,anonymised-model;governance,methodology,Finding Type finalized by classification agent: benchmark contamination/grader-gaming finding about eval integrity; models are instruments
VERIFIED-FIX,198,USCAISI-2025-12-GOV1,Finding Type,governance,capability-trend,Finding Type finalized by classification agent: comparative ranking with explicit narrowing US-PRC gap = cross-model/time trend
VERIFIED-FIX,199,USCAISI-2026-04-CYB1,Finding Type,governance,capability-trend,Finding Type finalized by classification agent: 'lags frontier by ~8 months' is a relative cross-model gap statement
VERIFIED-FIX,203,JOINT-2025-07-GOV1,Finding Type,anonymised-model;governance,methodology,Finding Type finalized by classification agent: judge-LLM vs human disagreement is a finding about evaluation-method reliability
VERIFIED-FIX,205,UKAISI-2025-11-GOV11,Finding Type,governance,capability-finding;reassuring-null;company-self-report,Finding Type finalized by classification agent: named model reached no Critical Capability Levels; positive result via Google's own FSF report
VERIFIED-FIX,206,UKAISI-2025-11-GOV2,Finding Type,governance,governance;company-self-report,Finding Type finalized by classification agent: Google deployment decision/justification about its own model
VERIFIED-FIX,207,UKAISI-2025-12-SOC5,Finding Type,anonymised-model;governance,governance,"Finding Type finalized by classification agent: CSAM-prevalence societal statistic; no specific subject model, dropped anonymised modifier"
VERIFIED-FIX,208,UKAISI-2025-12-GOV3,Finding Type,anonymised-model;governance,governance,"Finding Type finalized by classification agent: industry-standard/protocol milestone; no subject model, dropped modifier"
VERIFIED-FIX,209,UKAISI-2025-12-GOV4,Finding Type,anonymised-model;governance,governance,"Finding Type finalized by classification agent: legislation/policy milestone; no subject model, dropped modifier"
