sheet_row,finding_id,batch,pub_date,numbers_exact,numbers_mismatch,numbers_notfound,key_quote_verdict,proposed_key_quote,channelA_verdict,proposed_channelA_verbatim,channelB_verdict,channelC_verdict,model_names_check,overstatement,notes
29,,batch8_two_row_reports,2026-06-10,2,0,0,exact,Claude Opus 4.5 detects prefills opposing its preferences in 9-35% of cases with a 0% false positive rate when prompted,n/a (Company Response = 'None'),,,,Claude Opus 4.5 correct -- named verbatim in the abstract.,"None. Finding tracks the abstract closely: detection driven by stylistic mismatch ('stylistic mismatch mainly affects whether models flag a prefill as foreign'), reversion by preference mismatch ('preference mismatch mainly affects whether they revert toward their baseline answer'), and silent reversion ('models often revert towards baseline behavior without explicitly reporting that the prefill was foreign'). 'Frontier models exhibit substantial prefill awareness' matches 'frontier models show ","Cleanest row in the batch. Key Quote is a character-for-character exact match to the abstract. Date, model, URL, quote all verified. Note: this page ('/research/...') is a research listing with an abstract; full numeric ablations live in the linked paper, but every cited number is present in the abstract."
30,,batch7_cyber_pace_deepseek,2025-09-30,2,0,0,missing,"DeepSeek’s most secure model (R1-0528) responded to 94% of overtly malicious requests when a common jailbreaking technique was used, compared with 8% of requests for U.S. reference models.",n/a (Company Response = None),,,exact,"OK — critically, the 94% figure is correctly attributed to R1-0528 ('most secure model'), not R1 or V3.1. Notes field '[Report tested: DeepSeek R1, DeepSeek V3.1, GPT-5, Anthropic Opus 4]' is INCOMPLETE: source says “CAISI’s experts evaluated three DeepSeek models (R1, R1-0528 and V3.1) and four U.S. models (OpenAI’s GPT-5, GPT-5-mini and gpt-oss and Anthropic’s Opus 4) across 19 benchmarks”.",None; Finding tracks source wording closely. Framing note: 94% is for DeepSeek's MOST SECURE model — the Finding preserves this via 'R1-0528' but could state 'most secure' explicitly to keep the source's a-fortiori framing.,"Full report exists at nist.gov/document/caisi-evaluation-deepseek-ai-models-report if per-model breakdowns are needed. Related to NEW-080 (sheet_row 41, hijacking) — distinct findings, keep separate, but the shared joineta Channel C bullet covers both."
31,,batch8_two_row_reports,2024-12-18,0,0,0,n/a (no Key Quote field),"When o1 was augmented with this additional tooling, its performance increased on the research questions beyond the use of the model alone, particularly on DNA and protein sequencing-related tasks.",is-description,,,,"OpenAI o1 correct. Finding's bio claims are US-AISI-only (source: 'these findings are based on US AISI's testing only, as UK AISI is not publishing its findings in this domain at this time') -- Finding correctly states 'UK AISI declined to publish its bio-domain findings'.","Finding body faithful to source. The only overstatement lives in the Channel A description labelling the AISI eval as 'biological-capability evaluations' (the system card does not scope it that way). Response Date 2024-12-05 = o1 public release date, plausible.",Bio tool-augmentation on DNA/protein sequencing verified verbatim; UK non-publication verified. Merge candidate with sheet_row 19.
32,,batch9_openai_update_group,2026-02-05,2,0,0,missing (the Finding embeds a quoted phrase which IS exact: 'continued making meaningful progress on difficult cyber tasks across many compaction windows' matches the card verbatim),"CAISI observed that GPT-5.3-Codex continued making meaningful progress on difficult cyber tasks across many compaction windows, finding novel results even after 50M or more unique tokens and tens of hours of analysis.",is-description,"This is the first launch we are treating as High capability in the Cybersecurity domain under our Preparedness Framework, activating the associated safeguards.",n/a (not filled),,OK: GPT-5.3-Codex matches. Card also notes CAISI/UK AISI had early access building on 'recent codex models and gpt-5.2-thinking'.,"Finding accurate but TRUNCATED mid-phrase ('separate from the High-') -- sheet data corruption. Note the card's own hedge on the High classification: 'We do not have definitive evidence that this model reaches our High threshold, but are taking a precautionary approach' -- the Channel A summary's flat 'classified as High capability (a first)' omits the precautionary framing but is defensible. The Finding could also cite the concrete quantitative detail: 'finding novel results even after 50M or m","PARTIAL CIRCULARITY: finding source (system card) and Channel A evidence (deploymentsafety.openai.com) are two different documents but both are OpenAI-authored; CAISI's observation is known only via the company's system card. No CAISI/NIST-side publication of this GPT-5.3-Codex testing found. Same card also reports UK AISI's ~10-hour universal jailbreak of the Safety Reasoner (0.778 pass@200) -- a distinct finding not in this row; confirm it is captured elsewhere in the dataset. Report Title, Source URL, dates all consistent."
33,NEW-161,batch4_securebio_gpt55,2026-04-23,4,1,3,missing,"We found that Pre-Release Checkpoint 2 exceeds state-of-the-art scores on the Virology Capabilities Test (VCT), surpassing all other models that SecureBio has tested.",is-description,"We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards.",,,exact — GPT-5.5 correctly named; percentile scores are attributable to Pre-Release Checkpoint 2 in source (consistent).,"OVERSTATEMENT / FABRICATION RISK. The second sentence — 'On wet-lab troubleshooting across 322 held-out virology questions, all models exceeded the median expert baseline (22.1%) but underperformed the PhD consensus expert baseline (54%)' — introduces three figures/framings (22.1%, 54%, 'held-out', 'wet-lab troubleshooting') that do NOT appear in the cited SecureBio source. The four benchmark percentages in the first sentence are all exact and verified.","SERIOUS: the wet-lab-troubleshooting sentence appears to import human-baseline numbers (22.1% median / 54% expert consensus) that are characteristic of the original VCT benchmark paper, not this SecureBio article — they must not be attributed to this Source URL. Merge candidate: shares the same static-evaluation 'exceeds SOTA / exceeds all expert scores' source basis as USCAISI-2026-04-BIO1 (row 25). Note '[CLUBBED 2: NEW-161 + NEW-162]' flag in input."
34,NEW-070,batch2_mythos_cyber,2026-04-28,1,0,0,missing,"GPT-4o was notably more sycophantic than GPT-5 and Claude Sonnet 4.5, suggesting that more recently released models may have benefited from targeted training against sycophantic tendencies",is-description,,,,"Pass — source tested exactly GPT-4o, GPT-5, and Claude Sonnet 4.5. Note the Models/Systems cell lists only GPT-4o while the report tested three models.",The Finding itself is faithful (near-verbatim). The '(newer models less sycophantic)' gloss slightly hardens the source's hedge 'may have benefited from targeted training'.,"FATAL ATTRIBUTION PROBLEM for the response channel: OpenAI's rollback post is dated 2025-04-29 — one year BEFORE this AISI paper (2026-04-28) — and was a response to the April 2025 ChatGPT sycophancy incident. It never mentions AISI. Recording it as a 'Substantive'/'Explicit' company response to this report, with Response Date 2025-04-29 (negative lag of ~364 days), is indefensible; a hostile reviewer will catch the reversed causality immediately. Either drop the response linkage or reclassify as pre-existing context. Also note the AISI paper is a methods/mitigation paper (question reframing),"
35,,batch7_cyber_pace_deepseek,2025-09-30,1,0,0,missing,DeepSeek models echoed four times as many inaccurate and misleading CCP narratives as U.S. reference models did.,n/a (Company Response = None),,,exact,"OK: 'DeepSeek models' (plural) correctly rendered as R1, R1-0528, V3.1 in Models/Systems. Notes field '[Report tested: GPT-5; Anthropic Opus 4]' is INCOMPLETE: U.S. reference set also included GPT-5-mini and gpt-oss.",None; Finding mirrors the source sentence.,Cleanest row in the batch. Consider setting Key Quote = the source sentence (currently only stored under Channel C).
36,,batch6_alignment_casestudy,CONFLICT (partial): PDF says only 'Published: November 2025'; 2025-11-18 consistent with Gemini 3 launch but day not stated in source.,3,0,0,missing,"Gemini 3 Pro reaches the alert threshold for this CCL, but not the CCL itself. As a precautionary measure we will continue to deploy mitigations, which we assess to substantially reduce the risk posed.",is-description,"As a precautionary measure we will continue to deploy mitigations, which we assess to substantially reduce the risk posed.",,,"Gemini 3 Pro correct. Same caveat as row 21: Institution field 'UK AISI + Apollo + Vaultis + Dreadnode' is not supported by the PDF, which never names its external testers; note also the cyber CCL determination is presented as Google's internal evaluation (external cyber evaluations 'focused on operationally relevant' tasks were separate).","None material. 'reached the CCL alert threshold (though not the CCL itself)' and 'will continue deploying mitigations as a precaution' track the source precisely. The editorial clause 'a materially different result from the blanket no-CCL-reached rows' is fair: the alert-threshold nuance is real and was also triggered by Gemini 2.5 Pro (per PDF), which slightly tempers its novelty — Gemini 3 Pro continues, rather than newly triggers, the alert. Response Date 2025-11-18 consistent with report pub","Report ID 'UKAISI-2025-11' again mislabels a Google DeepMind report. Domain 'Cyber' correct. Consider adding the concrete benchmark numbers (v1 hard: 11/12 solved; v2: 0/13 end-to-end) to the Finding for precision. Not a merge candidate with row 21 (different domain), but both should share corrected publication metadata."
37,,batch9_openai_update_group,2025-09-12,3,0,0,missing,"The proof-of-concept attack developed by CAISI successfully bypassed various AI-based security protections, which led to a full exploit chain with a success rate of approximately 50%.",is-description,"These attacks were immediately reported to OpenAI, and fixed by OpenAI within one business day.",n/a (not filled),,OK: ChatGPT Agent matches source. Note CAISI also used ChatGPT Agent itself as a discovery tool (blog).,"Finding substantively accurate: two vulnerabilities, exploit chain combining traditional cyber vulnerabilities with an AI agent hijacking attack, ~50% success rate all match. Minor: the Finding text is TRUNCATED mid-word ('not captured by any GP') -- data corruption in the sheet; the '(cyber/agent-security finding)' gloss is editorial. Testing occurred in July 2025 per blog ('a new kind of collaboration that took place in July'), fixes therefore predate the blog.","CIRCULARITY: Source URL and Channel A Evidence are both the same OpenAI blog -- the finding (CAISI's discovery) is known only through the company's own post. No CAISI/NIST-side publication of these specific ChatGPT Agent vulnerabilities was found (web search: only the OpenAI post, NIST CAISI's Jan 2026 RFI on AI-agent security, and secondary coverage). UK AISI's Sep 13, 2025 blog references the OpenAI post generically but does not describe the CAISI finding. Report Title truncated ('...more secure AI sy'); full title: 'Working with US CAISI and UK AISI to build more secure AI systems'. Publica"
38,,batch8_two_row_reports,2024-12-03,2,0,0,missing,61% of solutions were deemed feasible (the second highest performer).,n/a (Company Response = 'None'),,,,"Claude 3.5 Sonnet correct; source pins the exact build (claude-3-5-sonnet-20241022, the Oct 2024 upgrade). NOTE: Notes tag '[Report tested: OpenAI o1-preview]' is erroneous metadata; this row's finding is about Claude 3.5 Sonnet, correctly.","None material. Same task-scope caveat as row 4 applies (figures are for the Petunia genetic-engineering task, not biology broadly), but the Finding stays close to source.",Both numbers exact. Merge candidate with sheet_row 4.
39,,batch9_openai_update_group,2025-09-12 (Publication Date field is EMPTY in row; should be 2025-09-12),0,0,0,missing,"OpenAI made a range of improvements to our product configuration to fix a set of configuration vulnerabilities that UK AISI identified, where malicious content could be inputted or exfiltrated without triggering moderation.",is-description,"OpenAI made a range of improvements to our product configuration to fix a set of configuration vulnerabilities that UK AISI identified, where malicious content could be inputted or exfiltrated without triggering moderation.",exact,,Models/Systems field is EMPTY. Source scopes this to OpenAI's deployed biosecurity moderation surface across ChatGPT Agent and GPT-5 ('the end-to-end product experience'); recommend 'ChatGPT Agent; GPT-5 product surface'.,"Finding is a fair paraphrase ('product-configuration vulnerabilities' vs source 'configuration vulnerabilities' fixed via 'improvements to our product configuration'). Domain 'Jailbreaks' is arguable -- the source frames this as end-to-end moderation/safeguard-bypass within the biosecurity red-teaming workstream, not model jailbreaking; 'Safeguards' would be more precise. Attribution 'Explicit' is supported (UK AISI named).","CIRCULARITY: Source URL and Channel A Evidence are the same OpenAI blog. This row at least has a genuine second channel: UK AISI's own blog (2025-09-13) confirms the collaboration and that AISI/CAISI 'identify and remediate system vulnerabilities', but it does NOT independently describe the input/exfiltration configuration vulnerabilities -- so the OpenAI blog remains the only primary statement of the finding itself. No standalone UK AISI publication of this specific finding located."
40,,batch9_openai_update_group,"2026-02-05 (Publication Date field is EMPTY in row; should be 2026-02-05, the GPT-5.3-Codex system card date)",1,0,0,exact (embedded quote 'it is being treated as High capability on biology' matches the card verbatim),"Like other recent models, it is being treated as High capability on biology, and is being deployed with the corresponding suite of safeguards we use for other models in the GPT-5 family.",is-description,"Similarly to ChatGPT agent, we have decided to treat gpt-5-thinking as High capability in the Biological and Chemical domain under our Preparedness Framework, activating the associated safeguards.",n/a (not filled),,MISMATCH: Models/Systems says 'GPT-5 family' but the finding's subject model is GPT-5.3-Codex (it inherits GPT-5-family bio safeguards). Should read 'GPT-5.3-Codex (GPT-5-family bio safeguards)'. The 5.3-Codex card uses both 'High capability on biology' (p.4) and 'High risk in the Biological and Chemical domain' (sec. 5/5.1.1) -- terminology inconsistency in the source worth noting.,"No overstatement in the text itself, but a SCOPE problem for the dataset: this finding is OpenAI's own Preparedness Framework self-classification with no UK AISI/CAISI evaluation content -- there is no institute finding here, and Attribution 'Explicit' has no institute to attribute to. Both the 'finding' and the 'response' are company self-descriptions (self-referential: the response IS the finding). Consider dropping or re-labeling as company-baseline context rather than an AISI evaluation find",CIRCULARITY (strongest in batch): finding source and Channel A evidence are two OpenAI documents describing OpenAI's own classification decision; no government-side source exists or could exist for a self-classification. Response Date 2025-08-13 matches the live GPT-5 system card date exactly (note this is the revised card; original release was 2025-08-07). Institution field empty.
41,,batch7_cyber_pace_deepseek,2025-09-30,1,0,0,missing,"Agents based on DeepSeek’s most secure model (R1-0528) were, on average, 12 times more likely than evaluated U.S. frontier models to follow malicious instructions designed to derail them from user tasks.",n/a (Company Response = None),,,n/a (not filled),"OK: R1-0528 correctly identified as 'DeepSeek's most secure model'; comparison set is 'evaluated U.S. frontier models' (GPT-5, GPT-5-mini, gpt-oss, Opus 4). Finding preserves both qualifiers ('most secure', 'on average').","None. Source adds concrete consequences worth capturing: “Hijacked agents sent phishing emails, downloaded and ran malware, and exfiltrated user login credentials, all in a simulated environment.” Domain tag 'Alignment' is debatable — CAISI frames this as a security/safeguard susceptibility, not alignment; consider 'Jailbreaks/Safeguards' for consistency with NEW-081.","Companion to NEW-081 (sheet_row 30); distinct benchmarks (agent hijacking vs jailbreaking), keep both. The joineta.org media bullet used in row 30 conflates the two ('up to 12x')."
42,,batch6_alignment_casestudy,2025-11-26 (source page; row has no Publication Date field — should be filled),1,0,0,missing,"We additionally find that Opus 4.5 Preview shows reduced unprompted evaluation awareness compared to Sonnet 4.5, while both models can distinguish evaluation from deployment scenarios when prompted.",is-description,"On Claude Opus 4.5, we attempted to mitigate these issues by removing components of our training process we suspected were exacerbating evaluation awareness.",,,Both named models confirmed in abstract.,"Minor: Finding says 'reduced spontaneous evaluation-awareness'; abstract says 'reduced unprompted evaluation awareness' and the full paper qualifies it as 'a slight reduction'. Also the paper notes Opus 4.5 Preview is actually SLIGHTLY BETTER at distinguishing evaluation from deployment when prompted (2-3% accuracy gain) — 'though both could distinguish evaluation when prompted' is accurate but hides that prompted discrimination went up, not down. Response Date 2025-11-24 matches Claude Opus 4.5","Report Title is truncated ('...Claude Opus and Son'). Strong merge candidate with sheet_row 7 (UKAISI-2025-11-ALI6): same report, same evaluation-awareness thread; NEW-116's Channel A response is the missing company-response channel for ALI6/ALI1. Action Level 'Substantive' is well supported by the system card (training-data categories actually removed)."
43,ADD-01,batch1_agentharm,2024-10-11,6,0,0,missing,"with our template attack, Claude 3.5 Sonnet scores a 81.9% non-refusal harm score (while refusing just 16% of requests), closely matching its non-refusal score of 82% on the benign tasks",n/a,,,,ok - checkpoint is claude-3-5-sonnet-20240620 (Appendix B),ok - though the finding should say '82% benign non-refusal score' rather than '82% benign-task score',All six numbers verify exactly against Table 9. Proposed quote preserves the paper's own grammar ('a 81.9%').
44,ADD-02,batch1_agentharm,2024-10-11,4,0,0,missing,"Gemini 1.5 Pro, increasing its harm score from 15.7% to 56.1% and decreasing refusal rate from 78.4% to 3.5%",n/a,,,,ok - checkpoint is google/gemini-1.5-pro (Appendix B),ok - 'refusals collapsing' is editorial but fair for 78.4% to 3.5%,Paper itself states 78.5% in one main-text sentence and 78.4% in the table; citing 78.4% (table value) is the defensible choice.
45,ADD-03,batch2_mythos_cyber,2026-04-30,4,0,0,missing,"Mythos Preview, the first model to solve TLO, did so in 3 of 10 attempts.",is-description,,,not-in-source,Pass — Mythos Preview (Anthropic) named for both TLO-first and 68.6% results in the GPT-5.5 report.,"'scored 68.6% on Expert CTF (2nd to GPT-5.5)' — statistically, 71.4%±8.0 vs 68.6%±8.7 is not a significant ordering; say 'statistically indistinguishable from GPT-5.5' or cite the SEMs.","MERGE CANDIDATE with row 12 (UKAISI-2026-04-CYB2): both rows assert Mythos was first to solve TLO in 3/10 attempts, resting on near-identical sentences in the two AISI blogs. Keeping both without cross-reference invites a duplicate-finding charge. Publication Date 2026-04-30 matches the source (the GPT-5.5 report), which is an odd host for a Mythos finding — the Report Title/Models pairing will look like a mismatch unless flagged as deliberate."
46,ADD-04,batch1_codex53,2026-02-05,4,0,0,missing,"In their sabotage suite, Apollo reports a mean best-of-10 score of 0.88 (max 1.00), compared to 0.75 for GPT-5.2 and 0.66 for GPT-5.2 Codex.",is-description,"While we do not yet have evidence that GPT-5.3-Codex demonstrates propensities for such misalignment or possesses the long range autonomy capabilities that such a scenario would require, this risk makes it important to mature our internal deployment posture ahead of more capable systems. Accordingly, we are accelerating work across evaluations, safeguards, and operating procedures.",,,ok,"flag: consider caveat - card stresses results are short-horizon, sandboxed ML tasks where the model is 'explicitly instructed to compromise a target model via fine-tuning' and 'do not directly test whether the model can reliably conceal sabotage, evade detection, or succeed under realistic monitoring'",All numbers verified exact. Proposed Channel A is OpenAI's own response from Sec 5.2.1.5 Misalignment risks and internal deployment (p.29-30).
47,ADD-05,batch1_codex53,2026-02-05,2,0,0,missing,"On deferred subversion / sandbagging, Apollo reports that the model sometimes sandbags on capabilities Q&A tasks (ex: biology or chemistry), including without an explicit in-context goal, and documents cases where the model reasons explicitly about ""optimizing for survival"" by avoiding deployment restrictions.",is-description,"These efforts span training, evaluation, and system-level safeguards, including work to align and train the values in our models, and detect and reduce scheming.",,,ok,ok,Finding fully supported. Proposed Channel A from Sec 5.2.1.5 (p.30). PDF extraction artifact: 'system- level' has a spurious space from line break; actual text is 'system-level'.
48,ADD-06,batch1_codex53,2026-02-05,5,2,1,missing,"Of these, they found 6 complete universal jailbreaks, and 14 partial universal jailbreaks (where at least 4/6 rubric attempts contain violative outputs).",is-description,"Based on the nature of the jailbreaks identified, and the depth of safeguards in place for this launch, these are not blocking and will be remediated.",,,issue,"flag: 'OpenAI internal red teaming' is unsupported; jailbreaks were found against Safety Reasoner paired with GPT-5.2-thinking/GPT-5.2-Codex checkpoints, not the deployed GPT-5.3-Codex system","All five numbers verify exactly. Fix finding wording: drop 'internal', attribute checkpoints correctly, quote 'not blocking and will be remediated' precisely. Source PDF saved at scratchpad/codex53.pdf."
49,,batch7_cyber_pace_deepseek,2026-05-13,6,0,0,missing,"With a 2.5M token cap, GPT 5.5 achieves a 100% success rate on five of six tasks estimated over 8 hours; it solves the sixth on every attempt when the cap is removed.",is-description,"As we did for GPT-5.3-Codex and GPT-5.4-Thinking, we are treating GPT-5.5 as High capability in the Cybersecurity domain, but below Critical.",exact,exact,OK: GPT-5.5 correctly attributed throughout; the 3-of-10 'The Last Ones' result belongs to GPT-5.5 (Mythos scored 6/10 on that range and 3/10 on Cooling Tower — no cross-attribution error).,"None on the AISI numbers. Timing framing: the OpenAI system card (2026-04-23) also pre-dates the AISI blog — it is pre-deployment disclosure referencing UK AISI testing, not a 'response' to this published finding; Response Date semantics should reflect that.",Both Channel A (Apr 23) and Channel B (May 1) pre-date the May 13 publication; neither can be a reaction to the blog. GPT-5.5 did NOT solve Cooling Tower — only Mythos did; Finding correctly omits it.
50,,batch7_cyber_pace_deepseek,2026-05-13,3,0,0,missing,"Mythos Preview completes all six long tasks 100% of the time, with the 2.5M token cap.",is-description,"By releasing this model initially to a limited group of critical industry partners and open source developers with Project Glasswing, we aim to enable defenders to begin securing the most important systems before models with similar capabilities become broadly available.",,exact,"OK: Claude Mythos Preview correct; blog notes results use a newer Mythos Preview checkpoint than previous AISI reporting. Anthropic Channel A dates (Apr 7) pre-date the AISI blog — the 'response' is a pre-existing release decision, not a reaction to this finding.","Finding is accurate on the long-task numbers. 'CTF ranges' is a mislabel (source: 'cyber ranges'; these are multi-step simulated network attacks, e.g., 'a 32-step simulated corporate network attack', not CTFs). No attempt-rate caveat given for ranges (6/10, 3/10).","MERGE CANDIDATE: overlaps UKAISI-2026-05-CYB2 (sheet_row 16) — same model, same report; row 16 covers the ranges, this row covers long tasks but re-claims the ranges. Suggest splitting cleanly (row 16 = ranges/first-ever; row 50 = six long tasks) or merging."
51,ADD-09,batch4_securebio_gpt55,2026-04-23,1,0,0,missing,Pre-Release Checkpoint 2 shows comparable usability (answering benign prompts) to GPT-5.4. Its safety (refusal of harmful prompts) is lower than GPT 5.4's.,is-description,SecureBio had access with system level biological risk content filters disabled for the duration of the assessment.,,,exact — GPT-5.5 (Checkpoint 2) and GPT-5.4 both correctly named.,"OVERSTATEMENT. Finding frames the lower BioTIER safety score as 'LOWER safety than GPT-5.4 -- i.e., a safeguard regression relative to its predecessor on bio-weaponization refusals.' The source explicitly warns against this conclusion: '...given that GPT 5.4's refusal percentage includes safety classifiers, which were deliberately turned off for our assessment of Pre-Release Checkpoint 2, no clear conclusion can be drawn about Pre-Release Checkpoint 2's refusal accuracy in deployment.' Labeling ",The safety-vs-usability comparison is a not-apples-to-apples comparison per the source (classifiers off for Checkpoint 2). Finding should be softened to note the comparison is confounded.
52,ADD-10,batch4_securebio_gpt55,2026-04-23,2,0,0,missing,"Pre-Release Checkpoint 2 performed strongly on all three tasks, and exceeded or matched the performance of GPT-5.4 on all tasks.",is-description,"We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards.",,,exact — GPT-5.5 (Checkpoint 2) and GPT-5.4 correctly named.,"Mostly OK. Finding's 'matching or exceeding GPT-5.4 across fragment design, screening evasion, and liquid-handling tasks' matches 'exceeded or matched the performance of GPT-5.4 on all tasks.' Minor: 'only a 23% refusal rate' — the word 'only' is analyst editorializing (source states the 23% neutrally). Also worth noting the source adds context omitted by the Finding: Checkpoint 2 did 'not exceed the SOTA scores on any task.'",Numbers and task names verified exact. Section-number citation (9.1.1.8) unverified against fetched page.
53,ADD-11,batch4_securebio_gpt55,2026-04-23,1,1,0,paraphrase,"This is the first OpenAI model to achieve the 100th percentile compared to SMEs on VCT, and the second to do so out of all frontier models evaluated by SecureBio (after Gemini 3.1 Pro).",is-description,The model can provide highly accurate and actionable information but still fails to offer novel or sufficiently complete and detailed instructions for critical stages... to significantly enhance the capabilities of low to medium resourced threat actors required for the CCL. We continue to deploy mitigations in this domain.,,,exact — Gemini 3.1 Pro and GPT-5.5 Checkpoint 2 correctly named.,"ERROR (not overstatement but factual inversion). Finding claims Gemini 3.1 Pro was 'the second frontier model to do so after GPT-5.5 Checkpoint 2'; the source says the reverse — GPT-5.5 Checkpoint 2 was the second, after Gemini 3.1 Pro. This misstates chronology/ranking.","SERIOUS: ranking inversion (see numbers_check). Also Response Date discrepancy: row lists 2026-02-01 but the Gemini 3.1 Pro model card publication date is 2026-02-19 (CONFLICT: 2026-02-19). Attribution 'Topical+Temporal' is appropriate since Gemini is cross-referenced, not the primary evaluated system."
54,ADD-12,batch5_opus4_scheming,2025-05-22,0,0,0,missing,"it will frequently take very bold action, including locking users out of systems that it has access to and bulk-emailing media and law-enforcement figures to surface evidence of the wrongdoing.",is-description,"This kind of ethical intervention and whistleblowing is perhaps appropriate in principle, but it has a risk of misfiring if users give Claude-Opus-4-based agents access to incomplete or misleading information and prompt them to take initiative.",,exact,"Finding correctly attributes to Claude Opus 4 (the model the system card characterizes; behavior persists in released model). HOWEVER: Report Title 'Claude Opus 4 Early Snapshot Scheming Evaluation' and Institution 'Apollo Research + Anthropic' are misattributed for this row — Section 4.1.9 is Anthropic's OWN internal assessment, not part of Apollo's early-snapshot scheming evaluation (4.1.1.4). Apollo had no role in the high-agency/whistleblowing finding.",Mild: 'frequently takes bold autonomous actions' matches 'will frequently take very bold action'. Finding omits that the clearest example followed 'a moderately leading system prompt' and that the card says this 'is not a new behavior' engaged in only 'somewhat more readily' than prior models. Acceptable but could soften.,"Anchored on a distinct source section (4.1.9) not shared with rows 55/63/64 — not a merge candidate on content, but it is filed under the wrong report umbrella (Apollo scheming eval). Consider re-titling this row's Report/Institution to Anthropic-only self-report. Channel A verbatim field contains a summary, not a quote."
55,ADD-13,batch5_opus4_scheming,2025-05-22,0,0,0,missing,We believe that these findings are largely but not entirely driven by the fact that this early snapshot had severe issues with deference to harmful system-prompt instructions.,is-description,"While investigating this issue, we discovered that we had mistakenly omitted the only finetuning dataset that included harmful system prompts.",,exact,"Correct: early pre-release snapshot attribution matches source ('Early snapshots we tested complied with these prompts in almost every case, but the final Claude Opus 4 reverted to the much lower baseline'). Institution again lists Apollo; the deference finding is primarily Anthropic's own (4.1.3), with Apollo's scheming results attributed BY Anthropic to it — acceptable but the compliance testing itself was Anthropic's.","OVERSTATEMENT: Finding says the safeguard failure 'was cited by Anthropic as the root cause of the observed scheming behaviors'; source says 'largely but not entirely driven by' — explicitly NOT the sole/root cause (and separately 'We do not think, though, that this was the sole cause' re the omitted dataset). Recommend rewording to 'largely but not entirely driven by'.","Rests on system-card sentences distinct from row 63's Apollo summary (row 55 = the causal/mitigation passage, row 63 = Apollo's findings themselves), but they are two halves of the same 4.1.1.4 narrative — borderline merge candidates with row 63. Domain 'Jailbreaks' is arguable; source frames this as alignment/compliance, not jailbreak robustness."
56,ADD-14,batch3_sonnet35_predeploy,2024-11-19,0,0,0,missing,"providing it access to bioinformatic tools to assist in research task questions, which when tested using Sonnet 3.5 resulted in increased performance beyond the model alone, at times exceeding measured human expert baselines",is-description,"Based on our analysis, we judge that the upgraded Claude 3.5 Sonnet does not require ASL-3 safeguards at this time.",n/a (not filled),exact,OK. Trivial: Finding says 'bioinformatics tools'; source consistently says 'bioinformatic tools'.,"Mild. Finding drops two qualifiers: without tools the model was 'significantly below' human expert baselines 'in most instances' (Finding: flatly 'stayed below'), and the tool-augmentation method was explicitly a 'piloted' evaluation method, i.e., preliminary. A hostile reviewer would want 'piloted' reflected.","Temporal-direction problem for Channel A: the Model Card Addendum is dated to the model's release (Response Date 2024-10-22), i.e. it PRECEDES the AISI report publication (2024-11-19) by four weeks. It responds to the pre-deployment testing exercise, not to the published finding - calling it a 'response' to this report needs the pre-deployment framing made explicit or a hostile reviewer will flag the inverted chronology. Note the PDF itself carries no explicit publication date."
57,ADD-15,batch3_sonnet35_predeploy,2024-11-19,2,0,0,missing,"The upgraded model was able to solve 36% of tasks that are at the “cybersecurity apprentice” level of competency, compared to 29% of tasks at that same level for the best reference model evaluated.",n/a (Company Response = None),,n/a (not filled),n/a (not filled),"OK ('Claude 3.5 Sonnet (Oct 2024)'). Per the technical report, the 'best reference model' here is the PRIOR Claude 3.5 Sonnet, not an OpenAI model - the row's Notes convention of listing o1-preview/GPT-4o as references could mislead.","Moderate. 'Outperforming' overstates confidence: the blog explicitly warns 'smaller differences in model performance presented below may fall within the margins of error for these tests', and the technical report shows this is Pass@10 on only 14 apprentice-level tasks (36% vs 29% is roughly a one-task difference); the report elsewhere notes a related apprentice-level subset difference is 'within the margin of error'. Recommend 'compared to' instead of 'outperforming'.","Selective emphasis a hostile reviewer would catch: the same blog section reports US AISI's cyber result where the upgraded model UNDERPERFORMED the best reference (32.5% vs 35% on 40 Cybench CTF challenges); quoting only the favorable UK number invites a cherry-picking charge. Also unstated: metric is Pass@10, and the 36% applies to the 14 apprentice-level tasks within the 47-challenge UK suite, not to all 47."
58,,batch8_two_row_reports,2026-02-17,5,1,0,not-found,"We believe BPJ is the first automated attack to succeed against Constitutional Classifiers, Anthropic's defence system that previously withstood over 3,700 hours of human red-teaming.",n/a (Company Response = 'None' for this split),,,paraphrase / partial-exact,'Anthropic Constitutional Classifiers' correct -- this split is specifically the Constitutional Classifiers result (distinct from row 59's GPT-5 result).,"The 80.4% max conflation materially INFLATES this split (true base-BPJ max is 39.9%; 80.4% requires the extra elicitation step). 'ASR' terminology is looser than source, which reports rubric 'scores', not strict attack-success-rate. 'first fully automated black-box attack' is supported (footnote [1]: Anthropic verified it as the first fully automated black-box attack in that setting).","SPLIT/distinct-support check: row 58 = Constitutional Classifiers (0->25.5%, $330, 660k); row 59 = GPT-5 input classifier (75.6%, $210, 800k). The two splits DO have distinct source support -- keeping both is justified. However both splits carry the SAME fabricated Key Quote (not-found) and 80.4%-vs-25.5% conflation appears only here (row 58). Media/policy 'muted response' claim not independently audited here."
