v3_row,finding_id,domain,models,disposition,reason,v4_target
173,USCAISI-2026-04-BIO1,Bio-Chem,GPT-5.5 (two pre-release checkpoints),KEPT-TRACKABLE,in accountability set (67),v4 row 25
174,USCAISI-2026-04-BIO2,Bio-Chem,GPT-5.5 (two pre-release checkpoints),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 109
175,USCAISI-2026-04-BIO3,Bio-Chem,GPT-5.5 (two pre-release checkpoints),MERGED,absorbed into USCAISI-2026-04-BIO2,USCAISI-2026-04-BIO2 (v4 row 109)
176,USCAISI-2026-04-GOV11,Governance,GPT-5.5 (two pre-release checkpoints),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 214
177,NETWORK-2024-11-GOV1,Governance,Meta Llama 3.1 405B,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 215
178,NETWORK-2024-11-JAI1,Jailbreaks,Meta Llama 3.1 405B,DROPPED,UNEXPLAINED — needs explicit reason,
179,NETWORK-2024-11-GOV2,Governance,Meta Llama 3.1 405B,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 216
180,SGAISI-2025-02-JAI1,Jailbreaks,"Claude 3.5 (Anthropic), Aya Expanse-8B (Cohere for AI), Llam",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 110
181,JOINT-2025-05-ALI1,Alignment / Misalignment,Claude Opus 4 (early pre-release snapshot -- NOT released ve,KEPT-TRACKABLE,in accountability set (67),v4 row 63
182,JOINT-2025-05-ALI2,Alignment / Misalignment,Claude Opus 4 (early pre-release snapshot -- NOT released ve,MERGED,absorbed into JOINT-2025-05-ALI1-s2,JOINT-2025-05-ALI1-s2 (v4 row 64)
183,JOINT-2025-05-ALI3,Alignment / Misalignment,Claude Opus 4 (early pre-release snapshot -- NOT released ve,MERGED,absorbed into JOINT-2025-05-ALI1-s2,JOINT-2025-05-ALI1-s2 (v4 row 64)
184,JOINT-2025-05-ALI4,Alignment / Misalignment,Claude Opus 4 (early pre-release snapshot -- NOT released ve,MERGED,absorbed into JOINT-2025-05-ALI1-s2,JOINT-2025-05-ALI1-s2 (v4 row 64)
185,JOINT-2025-05-GOV1,Governance,Claude Opus 4 (early pre-release snapshot -- NOT released ve,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 217
186,AISI-JP-2025-10-SOC1,Societal,Not applicable -- threat landscape analysis; no specific mod,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 111
187,UKAISI-2026-04-ALI2b,Alignment,Multiple (ResNet/CNN vision models; LLM experiments),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 218
188,UKAISI-2026-04-ALI1b,Alignment,OpenClaw (open-source AI coding agent),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 112
189,USCAISI-2026-05-GOV1,Governance,"DeepSeek V4 Pro (open-weight); compared against GPT-5, GPT-5",KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 219
190,UKAISI-2026-05-ALI1,Alignment,No specific models tested; theoretical/analytical paper,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 220
191,UKAISI-2026-05-ALI2,Alignment,No specific models tested; conceptual/review paper,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 221
192,SGAISI-2026-06-ALI1,Alignment,"Model A (large, closed-weight), Model B (large, closed/open-",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 113
193,UKAISI-2024-01-GOV1,Governance,Google Gemini Ultra,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 222
194,UKAISI-2024-05-GOV1,Governance,One unnamed frontier model (identity not publicly disclosed),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 223
195,UKAISI-2024-10-GOV1,Governance,16 models (aggregated across first year),DROPPED,governance-signal (needs confirmation),
196,UKAISI-2024-11-GOV11,Governance,16 models (aggregated across first year),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 224
197,JOINT-2025-01-JAI1,Jailbreaks,Claude 3.5 Sonnet,KEPT-TRACKABLE,in accountability set (67),v4 row 26
198,UKAISI-2025-02-GOV1,Governance,N/A,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 225
199,UKAISI-2025-03-GOV11,Governance,Multiple frontier LLMs (unnamed),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 226
200,UKAISI-2025-07-ALI1,Alignment,Llama-3.1-8B; Llama-3.3-70B,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 114
201,UKAISI-2025-07-GOV1,Governance,Multiple frontier models,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 227
202,UKAISI-2025-07-JAI1,Jailbreaks,Multiple frontier models with multi-component safety systems,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 115
203,UKAISI-2025-08-JAI11,Jailbreaks,Open-weight LLMs (unnamed; multiple tested),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 116
204,UKAISI-2025-11a-GOV1,Governance,445 LLM benchmarks reviewed by 29 expert reviewers; no new m,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 228
205,UKAISI-2025-11b-ALI1,Alignment,Claude Opus; Claude Sonnet (specific versions unspecified),KEPT-TRACKABLE,in accountability set (67),v4 row 27
206,UKAISI-2025-12a-ALI1,Alignment,Multiple frontier LLMs (unnamed),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 117
207,UKAISI-2026-03-CYB11,Cyber,Multiple frontier LLMs tested across different container con,DROPPED,UNEXPLAINED — needs explicit reason,
208,UKAISI-2026-05-GOV11,Governance,None -- expert interviews and theoretical analysis,DROPPED,governance-signal (needs confirmation),
209,UKAISI-2025-07-CYB1,Cyber,Anonymized Models A–D (sensitive-info/fraud strand) and E–F ,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 118
210,SGAISI-2025-07-JAI1,Jailbreaks,"Two anonymized open-weight models, tested across ten languag",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 119
211,KAISI-2026-05-SOC1,Societal,42 major domestic and international models (mostly anonymize,DROPPED,no named subject model (needs confirmation),
212,KAISI-2025-12-SOC1,Societal,"Kanana Essence 1.5 (Kakao, multimodal); comparators Meta Lla",KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 229
213,SGAISI-2026-01-AUT1,Autonomy,"Four anonymized models: A (larger, closed), B (larger, open)",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 120
214,UKAISI-2025-02-JAI1,Jailbreaks,OpenAI fine-tuning API (commercial closed model behind the A,KEPT-TRACKABLE,in accountability set (67),v4 row 28
215,UKAISI-2025-07-AUT1,Autonomy,22 frontier AI agents across 44 realistic deployment scenari,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 121
216,UKAISI-2025-10-ALI1b,Alignment,Research-trained LLMs from 600M to 13B parameters (6B-260B t,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 122
217,UKAISI-2025-10-AUT1,Autonomy,"31 popular backbone LLMs powering AI agents (b³ benchmark, 1",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 123
218,UKAISI-2026-06-HUM1,Human Influence,17 text models and 6 speech models (unnamed frontier models),DROPPED,no named subject model (needs confirmation),
219,UKAISI-2026-06-ALI1b,Alignment,31 open-weight models (2B-1T parameters) plus custom-built r,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 124
220,UKAISI-2025-09-AUT1,Autonomy,"GPT-4o, Llama 3 8B",KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 125
221,UKAISI-2026-02-SOC1,Societal,,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 126
222,UKAISI-2026-06-ALI3,Alignment,Claude Opus 4.5,KEPT-TRACKABLE,in accountability set (67),v4 row 29
223,UKAISI-2026-03-AUT1,Autonomy,,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 230
224,USCAISI-2025-01-GOV1,Governance,,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 231
