type,sheet_row,finding_id,column,old,new,reason
VERIFIED-FIX,106,JOINT-2024-12-BIO1,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,112,UKAISI-2026-04-ALI1b,Institution,UKAISI,UK AISI,Canonical institution spelling
VERIFIED-FIX,114,UKAISI-2025-07-ALI1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,115,UKAISI-2025-07-JAI1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,116,UKAISI-2025-08-JAI11,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,117,UKAISI-2025-12a-ALI1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,121,UKAISI-2025-07-AUT1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,122,UKAISI-2025-10-ALI1b,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,123,UKAISI-2025-10-AUT1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,124,UKAISI-2026-06-ALI1b,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,125,UKAISI-2025-09-AUT1,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,126,UKAISI-2026-02-SOC1,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,143,NEW-094,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,151,NEW-095,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,153,NEW-111,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,167,NEW-096,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,201,JOINT-2024-11-GOV1,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,218,UKAISI-2026-04-ALI2b,Institution,UKAISI,UK AISI,Canonical institution spelling
VERIFIED-FIX,219,USCAISI-2026-05-GOV1,Institution,USCAISI,US CAISI,Canonical institution spelling
VERIFIED-FIX,220,UKAISI-2026-05-ALI1,Institution,UKAISI,UK AISI,Canonical institution spelling
VERIFIED-FIX,221,UKAISI-2026-05-ALI2,Institution,UKAISI,UK AISI,Canonical institution spelling
VERIFIED-FIX,222,UKAISI-2024-01-GOV1,Institution,UK AI Safety Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,223,UKAISI-2024-05-GOV1,Institution,UK AI Safety Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,224,UKAISI-2024-11-GOV11,Institution,UK AI Safety Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,225,UKAISI-2025-02-GOV1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,226,UKAISI-2025-03-GOV11,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,227,UKAISI-2025-07-GOV1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,230,UKAISI-2026-03-AUT1,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,231,USCAISI-2025-01-GOV1,Institution,"NIST / US Center for AI Standards and Innovation (CAISI, formerly US AISI)",US CAISI,Canonical institution spelling
VERIFIED-FIX,259,NEW-118,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,261,NEW-142,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,276,NEW-143,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,287,NEW-112,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,288,NEW-120,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,289,NEW-136,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,11,UKAISI-2026-04-CYB1,Finding,"Mythos Preview achieved a record 73% CTF success rate, becoming the first model to solve expert-level CTFs that were impossible for any model before ~April 2025.","In UK AISI's evaluation, Claude Mythos Preview achieved a 73% pass rate on expert-level CTFs and became the first model to solve a challenge on AISI's hardest 'The Last Ones' (TLO) range.",Finding correction: 'record' not in source; expert-level threshold was crossed by earlier models ~April 2025 — Mythos was first only on the TLO range
VERIFIED-FIX,14,UKAISI-2026-04-CYB11,Finding,"In AISI's cyber evaluation, GPT-5.5 set a record 71.4% expert-level CTF pass rate, solved a TLO challenge in 2/10 attempts, and completed a reverse-engineering challenge roughly 70x faster than a human expert (10m22s vs ~12h).","In AISI's cyber evaluation, GPT-5.5 achieved a 71.4% expert-level CTF pass rate — AISI hedged it 'may be the strongest model we have tested' (within 1 SEM of Claude Mythos Preview's 68.6%) — solved a TLO challenge in 2/10 attempts (AISI grading; OpenAI's card records 1/10, adjudi",Finding correction: 'set a record' replaced with source's hedge; 70x was author-derived from one anecdotal challenge; 2/10 vs 1/10 grading footnote is reviewer bait
VERIFIED-FIX,17,USCAISI-2025-12-SOC1,Finding,"Kimi K2 Thinking showed high censorship of politically sensitive content in Chinese-language queries but substantially less censorship in English, Spanish, and Arabic, raising concerns about differential information access and possible influence operations targeting non-Chinese a","Kimi K2 Thinking showed high censorship of politically sensitive content in Chinese-language queries but substantially less censorship in English, Spanish, and Arabic.",Finding correction: 'influence operations / differential information access' clause was analyst inference absent from the NIST page
VERIFIED-FIX,19,JOINT-2024-12-CYB1,Finding,"On cybersecurity challenge tasks, OpenAI o1 solved 45% versus 35% for reference models, demonstrating measurable uplift on difficult cyber tasks; within this it uniquely solved 3 cryptography challenges that no other evaluated model could complete, marking a first-of-kind capabil","On US CAISI's 40-challenge cyber suite, OpenAI o1 solved 45% versus 35% for reference models and uniquely solved 3 cryptography challenges no other evaluated model completed; on UK AISI's separate 47-challenge apprentice-level suite, however, o1 solved 36% versus 46% for the best",Finding correction: cherry-picking fixed: same report's UK AISI suite shows o1 underperforming (36% vs 46%) — both results now shown
VERIFIED-FIX,57,ADD-15,Finding,"UK AISI found Claude 3.5 Sonnet solved 36% of 'cybersecurity apprentice'-level challenges, outperforming the best reference model (29%).",UK AISI found the upgraded Claude 3.5 Sonnet solved 36% (Pass@10) of 14 cybersecurity-apprentice-level challenges versus 29% for the best reference model — a difference the blog cautions may fall within the margin of error; on US AISI's 40-challenge Cybench suite the model underp,Finding correction: cherry-picking + significance fixed: blog's own margin-of-error caveat and the US AISI underperformance added
VERIFIED-FIX,58,UKAISI-2026-02-JAI1,Finding,"BPJ, the first fully automated black-box attack against Anthropic's Constitutional Classifiers (which had withstood 3,700+ hrs of human red-teaming with only one prior human-led success), raised ASR from 0% to 25.5% average / 80.4% max across 50 attempts at ~$330 and ~660k querie","BPJ, verified by Anthropic as the first fully automated black-box attack against its Constitutional Classifiers (which had withstood 3,700+ hours of human red-teaming with only one prior human-led success), raised rubric scores from 0% to 25.5% average / 39.9% max across 50 attem",Finding correction: 80.4% max belonged to the elicitation-augmented condition; base-BPJ max is 39.9% — conflation inflated the result
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Response Date,,2025-05-14,"RSP v2.2 effective date, verified from the dated PDF footer"
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Lag (days),,22,2025-05-14 (RSP v2.2) minus 2025-04-22 (RepliBench) = 22 days
VERIFIED-FIX,5,UKAISI-2025-04-ALI1,Channel A Evidence,https://www.anthropic.com/responsible-scaling-policy,https://www-cdn.anthropic.com/872c653b2d0501d6ab44cf87f43e1dc4853e4d37.pdf,dated RSP v2.2 PDF replaces the live evolving RSP page (which cannot be dated)
DECISION,5,UKAISI-2025-04-ALI1,Action Level,Acknowledged,None,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench."
DECISION,5,UKAISI-2025-04-ALI1,Company Response,Anthropic RSP v2.2 (May 2025) changed ARA threshold: replaced automatic triggers with 'model autonomy checkpoint',None,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench."
DECISION,5,UKAISI-2025-04-ALI1,Response Date,2025-05-14,,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench. (reverting the 2025-05-14 date added earlier)"
DECISION,5,UKAISI-2025-04-ALI1,Lag (days),22,,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench."
DECISION,5,UKAISI-2025-04-ALI1,Channel A Evidence,https://www-cdn.anthropic.com/872c653b2d0501d6ab44cf87f43e1dc4853e4d37.pdf,,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench. Coherence rule: no response -> blank evidence."
DECISION,5,UKAISI-2025-04-ALI1,Attribution,Topical+Temporal,None,"RepliBench response claim OVERTURNED: ARA->checkpoint change was RSP v2.0 (2024-10-15), 6mo BEFORE RepliBench (2025-04-22); v2.1/v2.2 autonomy text identical. Cited v2.2 made no relevant change and postdates finding. No documented Anthropic response to RepliBench."
DECISION,5,UKAISI-2025-04-ALI1,Sources Checked,,"Anthropic RSP v2.0 (2024-10-15), v2.1 (2025-03-31), v2.2 (2025-05-14) — ARA->checkpoint reframing predates RepliBench and v2.1/v2.2 autonomy sections are identical; no RSP change attributable to RepliBench. No Anthropic blog/system-card/policy response to RepliBench found as of 2",earnest-None documentation per codebook
DECISION,5,UKAISI-2025-04-ALI1,Proportionality,Under-response (gap),Accountability gap (no action),Recomputed: Severity C1 x Action None
DECISION,5,UKAISI-2025-04-ALI1,Notes,Anthropic WEAKENED safeguard trigger in response -- RSP v2.2 replaced automatic ARA thresholds with softer checkpoint; Paris Summit dropped relevant safety language; Biden EO rescinded; policy response directionally negative; High+Acknowledged (highest of Acknowledged and Cited->,"Autonomous self-replication finding on Claude 3.7 Sonnet (RepliBench, UK AISI). NO documented Anthropic response: the RSP ARA->checkpoint reframing predates the finding by ~6 months (v2.0, 2024-10-15) and was unchanged in v2.1/v2.2. Prior 'weakened in response / Strongly Dispropo",retract false weakening narrative
DECISION,9,UKAISI-2026-03-CYB1,Action Level,Substantive,None,"NEG-LAG SWEEP: Mythos Preview restriction credited as response, but anthropic.com/research/mythos-preview (2026-04-07) attributes it to Anthropic's OWN internal red-teaming and never mentions UK AISI; also it is a DIFFERENT/later model than the 2026-03-16 Opus 4.6 finding. NCSC policy citation is legit and retained."
DECISION,9,UKAISI-2026-03-CYB1,Company Response,Anthropic released Claude Mythos Preview only to a limited group of critical industry partners and open-source developers under Project Glasswing,None,"NEG-LAG SWEEP: Mythos Preview restriction credited as response, but anthropic.com/research/mythos-preview (2026-04-07) attributes it to Anthropic's OWN internal red-teaming and never mentions UK AISI; also it is a DIFFERENT/later model than the 2026-03-16 Opus 4.6 finding. NCSC policy citation is legit and retained."
DECISION,9,UKAISI-2026-03-CYB1,Channel A Verbatim,"By releasing this model initially to a limited group of critical industry partners and open source developers with Project Glasswing, we aim to enable defenders to begin securing the most important systems before models with similar capabilities become broadly available.",,coherence: no response -> blank
DECISION,9,UKAISI-2026-03-CYB1,Response Date,2026-04-07 00:00:00,,coherence: no response -> blank
DECISION,9,UKAISI-2026-03-CYB1,Lag (days),22,,coherence: no response -> blank
DECISION,9,UKAISI-2026-03-CYB1,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,9,UKAISI-2026-03-CYB1,Channel A Evidence,https://www.ncsc.gov.uk/blogs/why-cyber-defenders-need-to-be-ready-for-frontier-ai | https://www.anthropic.com/research/mythos-preview,,company response invalid; NCSC link belongs to Channel B (already present there)
DECISION,9,UKAISI-2026-03-CYB1,Sources Checked,,"Neg-lag sweep 2026-07-15: claimed company response invalid (Mythos Preview restriction credited as response, but anthropic.com/research/mythos-preview (2026-04-07) attributes it to). No company primary-source response attributable to this finding found as of 2026-07-15.",earnest-None documentation
DECISION,9,UKAISI-2026-03-CYB1,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,10,UKAISI-2026-03-CYB2,Action Level,Substantive,None,NEG-LAG SWEEP: Same Mythos-restriction mis-attribution; wrong model vs Opus 4.6 finding. NCSC policy citation retained.
DECISION,10,UKAISI-2026-03-CYB2,Company Response,Anthropic restricted Mythos benchmark to approximately 40 organizations shortly after publication,None,NEG-LAG SWEEP: Same Mythos-restriction mis-attribution; wrong model vs Opus 4.6 finding. NCSC policy citation retained.
DECISION,10,UKAISI-2026-03-CYB2,Channel A Verbatim,"By releasing this model initially to a limited group of critical industry partners and open source developers with Project Glasswing, we aim to enable defenders to begin securing the most important systems before models with similar capabilities become broadly available.",,coherence: no response -> blank
DECISION,10,UKAISI-2026-03-CYB2,Response Date,2026-03-30 00:00:00,,coherence: no response -> blank
DECISION,10,UKAISI-2026-03-CYB2,Lag (days),14.0,,coherence: no response -> blank
DECISION,10,UKAISI-2026-03-CYB2,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,10,UKAISI-2026-03-CYB2,Channel A Evidence,https://www.ncsc.gov.uk/blogs/why-cyber-defenders-need-to-be-ready-for-frontier-ai | https://www.anthropic.com/research/mythos-preview,,company response invalid; NCSC link belongs to Channel B (already present there)
DECISION,10,UKAISI-2026-03-CYB2,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (Same Mythos-restriction mis-attribution; wrong model vs Opus 4.6 finding. NCSC policy citation retained.). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,10,UKAISI-2026-03-CYB2,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,11,UKAISI-2026-04-CYB1,Action Level,Substantive,None,"NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-04-13) and Anthropic cites its own internal red-teaming, not the AISI finding — no causal link."
DECISION,11,UKAISI-2026-04-CYB1,Company Response,"Anthropic restricted Mythos Preview to approximately 40 vetted organizations via Project Glasswing, citing AISI findings; launched Cyber Verification Program; committed to coordinated vulnerability disclosure; eventually expanded to approximately 150 organizations including criti",None,"NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-04-13) and Anthropic cites its own internal red-teaming, not the AISI finding — no causal link."
DECISION,11,UKAISI-2026-04-CYB1,Channel A Verbatim,"By releasing this model initially to a limited group of critical industry partners and open source developers with Project Glasswing, we aim to enable defenders to begin securing the most important systems before models with similar capabilities become broadly available.",,coherence: no response -> blank
DECISION,11,UKAISI-2026-04-CYB1,Response Date,2026-04-07 00:00:00,,coherence: no response -> blank
DECISION,11,UKAISI-2026-04-CYB1,Lag (days),-6,,coherence: no response -> blank
DECISION,11,UKAISI-2026-04-CYB1,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,11,UKAISI-2026-04-CYB1,Channel A Evidence,https://www.cybersecuritydive.com/news/ai-anthropic-claude-mythos-project-glasswing-expand/821714/ | https://red.anthropic.com/2026/mythos-preview/ | https://www.anthropic.com/research/mythos-preview,,coherence: no response -> blank evidence
DECISION,11,UKAISI-2026-04-CYB1,Sources Checked,,"Neg-lag sweep 2026-07-15: claimed company response invalid (Mythos restriction (2026-04-07) predates finding (2026-04-13) and Anthropic cites its own internal red-teaming, not the ). No company primary-source response attributable to this finding found as of 2026-07-15.",earnest-None documentation
DECISION,11,UKAISI-2026-04-CYB1,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,12,UKAISI-2026-04-CYB2,Action Level,Substantive,None,NEG-LAG SWEEP: Same as row 11: Mythos restriction predates finding and is not attributable to the AISI eval.
DECISION,12,UKAISI-2026-04-CYB2,Company Response,"Anthropic restricted Mythos Preview to approximately 40 vetted organizations via Project Glasswing, citing AISI findings; launched Cyber Verification Program; committed to coordinated vulnerability disclosure; eventually expanded to approximately 150 organizations including criti",None,NEG-LAG SWEEP: Same as row 11: Mythos restriction predates finding and is not attributable to the AISI eval.
DECISION,12,UKAISI-2026-04-CYB2,Channel A Verbatim,We do not plan to make Mythos Preview generally available.,,coherence: no response -> blank
DECISION,12,UKAISI-2026-04-CYB2,Response Date,2026-04-07 00:00:00,,coherence: no response -> blank
DECISION,12,UKAISI-2026-04-CYB2,Lag (days),-6,,coherence: no response -> blank
DECISION,12,UKAISI-2026-04-CYB2,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,12,UKAISI-2026-04-CYB2,Channel A Evidence,https://www.cybersecuritydive.com/news/ai-anthropic-claude-mythos-project-glasswing-expand/821714/ | https://red.anthropic.com/2026/mythos-preview/ | https://www.anthropic.com/research/mythos-preview,,coherence: no response -> blank evidence
DECISION,12,UKAISI-2026-04-CYB2,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (Same as row 11: Mythos restriction predates finding and is not attributable to the AISI eval.). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,12,UKAISI-2026-04-CYB2,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,34,NEW-070,Action Level,Substantive,None,"NEG-LAG SWEEP: GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to user feedback, not a response to the finding."
DECISION,34,NEW-070,Company Response,"Rolled back the sycophantic GPT-4o update, restored an earlier model version, and revised its feedback-collection and post-training processes to reduce sycophancy.",None,"NEG-LAG SWEEP: GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to user feedback, not a response to the finding."
DECISION,34,NEW-070,Channel A Verbatim,"Rolled back the sycophantic GPT-4o update, restored an earlier model version, and revised its feedback-collection and post-training processes to reduce sycophancy.",,coherence: no response -> blank
DECISION,34,NEW-070,Response Date,2025-04-29 00:00:00,,coherence: no response -> blank
DECISION,34,NEW-070,Channel A Evidence,https://openai.com/index/sycophancy-in-gpt-4o/,,coherence: no response -> blank evidence
DECISION,34,NEW-070,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (GPT-4o rollback (2025-04-29) predates the AISI sycophancy finding (2026-04-28) by ~12 months; OpenAI's own reaction to u). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,45,ADD-03,Action Level,Substantive,None,NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-04-30); not attributable to it.
DECISION,45,ADD-03,Company Response,"Stated it will not make Mythos Preview generally available, restricting access to a limited group of critical industry and open-source partners via Project Glasswing, and committed to launch new cybersecurity safeguards with an upcoming Claude Opus model plus a Cyber Verification",None,NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-04-30); not attributable to it.
DECISION,45,ADD-03,Channel A Verbatim,"Stated it will not make Mythos Preview generally available, restricting access to a limited group of critical industry and open-source partners via Project Glasswing, and committed to launch new cybersecurity safeguards with an upcoming Claude Opus model plus a Cyber Verification",,coherence: no response -> blank
DECISION,45,ADD-03,Response Date,2026-04-07 00:00:00,,coherence: no response -> blank
DECISION,45,ADD-03,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,45,ADD-03,Channel A Evidence,https://www.anthropic.com/research/mythos-preview,,coherence: no response -> blank evidence
DECISION,45,ADD-03,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (Mythos restriction (2026-04-07) predates finding (2026-04-30); not attributable to it.). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,45,ADD-03,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,50,ADD-08,Action Level,Substantive,None,NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-05-13) by ~5 weeks; temporally impossible as a response.
DECISION,50,ADD-08,Company Response,Released Mythos Preview only to a limited group of critical industry partners and open-source developers via Project Glasswing rather than making it generally available; committed to an upcoming Cyber Verification Program for security professionals whose legitimate work is affect,None,NEG-LAG SWEEP: Mythos restriction (2026-04-07) predates finding (2026-05-13) by ~5 weeks; temporally impossible as a response.
DECISION,50,ADD-08,Channel A Verbatim,"By releasing this model initially to a limited group of critical industry partners and open source developers with Project Glasswing, we aim to enable defenders to begin securing the most important systems before models with similar capabilities become broadly available.",,coherence: no response -> blank
DECISION,50,ADD-08,Response Date,2026-04-07 00:00:00,,coherence: no response -> blank
DECISION,50,ADD-08,Attribution,Explicit,None,NEG-LAG SWEEP: no attributable company response
DECISION,50,ADD-08,Channel A Evidence,https://www.anthropic.com/research/mythos-preview,,coherence: no response -> blank evidence
DECISION,50,ADD-08,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (Mythos restriction (2026-04-07) predates finding (2026-05-13) by ~5 weeks; temporally impossible as a response.). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,50,ADD-08,Proportionality,Proportionate,Accountability gap (no action),recomputed after Action Level -> None
DECISION,53,ADD-11,Action Level,Acknowledged,None,"NEG-LAG SWEEP: Gemini 3.1 Pro FSF below-CCL conclusion (2026-02-19) predates the SecureBio finding (2026-04-23) by ~2 months and is Google's own assessment, not a response."
DECISION,53,ADD-11,Company Response,Google DeepMind's Gemini 3.1 Pro model card / Frontier Safety Framework reporting evaluates CBRN capability and concludes the model remains below the CBRN alert and critical capability level (CCL); no bio-related deployment restriction was imposed.,None,"NEG-LAG SWEEP: Gemini 3.1 Pro FSF below-CCL conclusion (2026-02-19) predates the SecureBio finding (2026-04-23) by ~2 months and is Google's own assessment, not a response."
DECISION,53,ADD-11,Channel A Verbatim,The model can provide highly accurate and actionable information but still fails to offer novel or sufficiently complete and detailed instructions for critical stages... to significantly enhance the capabilities of low to medium resourced threat actors required for the CCL. We co,,coherence: no response -> blank
DECISION,53,ADD-11,Response Date,2026-02-19,,coherence: no response -> blank
DECISION,53,ADD-11,Attribution,Topical+Temporal,None,NEG-LAG SWEEP: no attributable company response
DECISION,53,ADD-11,Channel A Evidence,https://deepmind.google/models/model-cards/gemini-3-1-pro/ ; https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-1-Pro-Model-Card.pdf,,coherence: no response -> blank evidence
DECISION,53,ADD-11,Sources Checked,,Neg-lag sweep 2026-07-15: claimed company response invalid (Gemini 3.1 Pro FSF below-CCL conclusion (2026-02-19) predates the SecureBio finding (2026-04-23) by ~2 months and is Goo). No company primary-source response attributable to this finding found as of 2026-07-15.,earnest-None documentation
DECISION,53,ADD-11,Proportionality,Under-response (gap),Accountability gap (no action),recomputed after Action Level -> None
DECISION,9,UKAISI-2026-03-CYB1,Notes,"Response is advisory not mandatory; no new legislation passed; acceleration rate outpaces policy cycle. 476% improvement in one year triggered genuine institutional response (NCSC, BoE, UK-Australia pact). Lag computed from pub_date 2026-03-16 to NCSC advisory 2026-03-30 = 14 day","Response is advisory not mandatory; no new legislation passed; acceleration rate outpaces policy cycle. 476% improvement in one year triggered genuine institutional response (NCSC, BoE, UK-Australia pact). Lag computed from pub_date 2026-03-16 to NCSC advisory 2026-03-30 = 14 day",audit trail
DECISION,10,UKAISI-2026-03-CYB2,Notes,No-plateau scaling finding is particularly alarming as it implies no near-term ceiling on AI-enabled cyberattack capability from compute scaling alone. Response is advisory not mandatory.  [CLUBBED 2: UKAISI-2026-03-CYB2 + NEW-050]  [Report tested: GPT-4o (Aug 2024); Claude Opus ,No-plateau scaling finding is particularly alarming as it implies no near-term ceiling on AI-enabled cyberattack capability from compute scaling alone. Response is advisory not mandatory.  [CLUBBED 2: UKAISI-2026-03-CYB2 + NEW-050]  [Report tested: GPT-4o (Aug 2024); Claude Opus ,audit trail
DECISION,11,UKAISI-2026-04-CYB1,Notes,Both channels active; no override applies. Response broadly proportionate but Cyber Security and Resilience Bill does not require AI-specific attack vector assessment; no binding mandatory measures passed.  [CLUBBED 2: UKAISI-2026-04-CYB1 + NEW-059]  [Report tested: Claude Opus 4,Both channels active; no override applies. Response broadly proportionate but Cyber Security and Resilience Bill does not require AI-specific attack vector assessment; no binding mandatory measures passed.  [CLUBBED 2: UKAISI-2026-04-CYB1 + NEW-059]  [Report tested: Claude Opus 4,audit trail
DECISION,12,UKAISI-2026-04-CYB2,Notes,Both channels active; no override applies. First-ever completion of a full corporate network attack chain by any AI model.  [CLUBBED 3: UKAISI-2026-04-CYB2 + UKAISI-2026-04-CYB3 + UKAISI-2026-04-CYB4]  [Report tested: Claude Opus 4.6; GPT-5.4; GPT-5.3-Codex; others],Both channels active; no override applies. First-ever completion of a full corporate network attack chain by any AI model.  [CLUBBED 3: UKAISI-2026-04-CYB2 + UKAISI-2026-04-CYB3 + UKAISI-2026-04-CYB4]  [Report tested: Claude Opus 4.6; GPT-5.4; GPT-5.3-Codex; others] [NEG-LAG SWEE,audit trail
DECISION,34,NEW-070,Notes,"NEW-CANDIDATE  [Report tested: GPT-5; Claude Sonnet 4.5] [ATTRIBUTION RECODED 2026-07-15: company action predates finding by ~1 year with no causal link to the eval; consider a ""pre-addressed"" tag in codebook]","NEW-CANDIDATE  [Report tested: GPT-5; Claude Sonnet 4.5] [ATTRIBUTION RECODED 2026-07-15: company action predates finding by ~1 year with no causal link to the eval; consider a ""pre-addressed"" tag in codebook] [NEG-LAG SWEEP 2026-07-15: company-response coding RETRACTED — GPT-4o ",audit trail
DECISION,45,ADD-03,Notes,ADD-03: completeness-audit; pending severity/response/channel,ADD-03: completeness-audit; pending severity/response/channel [NEG-LAG SWEEP 2026-07-15: company-response coding RETRACTED — Mythos restriction (2026-04-07) predates finding (2026-04-30); not attributable to it.],audit trail
DECISION,50,ADD-08,Notes,ADD-08: completeness-audit; pending severity/response/channel,ADD-08: completeness-audit; pending severity/response/channel [NEG-LAG SWEEP 2026-07-15: company-response coding RETRACTED — Mythos restriction (2026-04-07) predates finding (2026-05-13) by ~5 weeks; temporally impossible as a response.],audit trail
DECISION,53,ADD-11,Notes,ADD-11: completeness-audit; pending severity/response/channel,ADD-11: completeness-audit; pending severity/response/channel [NEG-LAG SWEEP 2026-07-15: company-response coding RETRACTED — Gemini 3.1 Pro FSF below-CCL conclusion (2026-02-19) predates the SecureBio finding (2026-04-23) by ~2 months and is Google's own assessment],audit trail
DECISION,42,NEW-116,Attribution,Explicit,Topical+Temporal,"Row-42 agent: Opus 4.5 system card sec 6.7 credits UK AISI only as NOTING the decrease, not as the reason; mitigation reason is internal; card (2025-11-24) predates AISI case study (2025-11-26) by 2 days — not finding-driven"
DECISION,42,NEW-116,Notes,NEW-CANDIDATE,"NEW-CANDIDATE [ATTRIBUTION 2026-07-15: Explicit->Topical+Temporal. Card cites ""the UK AISI's independent report"" only as observer of the decrease; mitigation predates the finding by 2 days = Anthropic's own practice corroborated by AISI, not a response. Action Level Substantive r",audit trail
